date,home_away,opp_score,opposing,season,team,team_score,win_lost
2010-10-03,HOME,0,CHC,reg,HOU,4,W
2011-04-08,HOME,4,FLA,reg,HOU,3,L
2011-04-09,HOME,7,FLA,reg,HOU,5,L
2011-04-10,HOME,1,FLA,reg,HOU,7,W
2011-04-11,HOME,5,CHC,reg,HOU,4,L
2011-04-12,HOME,2,CHC,reg,HOU,11,W
2011-04-13,HOME,9,CHC,reg,HOU,5,L
2011-04-14,HOME,0,SDP,reg,HOU,1,W
2011-04-15,HOME,4,SDP,reg,HOU,2,L
2011-04-16,HOME,3,SDP,reg,HOU,5,W
2011-04-17,HOME,8,SDP,reg,HOU,6,L
2011-04-26,HOME,5,STL,reg,HOU,6,W
2011-04-27,HOME,6,STL,reg,HOU,5,L
2011-04-28,HOME,11,STL,reg,HOU,7,L
2011-04-29,HOME,5,MIL,reg,HOU,0,L
2011-04-30,HOME,1,MIL,reg,HOU,2,W
2011-05-01,HOME,0,MIL,reg,HOU,5,W
2011-05-09,HOME,6,CIN,reg,HOU,1,L
2011-05-10,HOME,7,CIN,reg,HOU,3,L
2011-05-11,HOME,3,CIN,reg,HOU,4,W
2011-05-13,HOME,6,NYM,reg,HOU,4,L
2011-05-14,HOME,3,NYM,reg,HOU,7,W
2011-05-15,HOME,7,NYM,reg,HOU,4,L
2011-05-23,HOME,3,LAD,reg,HOU,4,W
2011-05-24,HOME,5,LAD,reg,HOU,4,L
2011-05-25,HOME,1,LAD,reg,HOU,2,W
2011-05-27,HOME,7,ARI,reg,HOU,6,L
2011-05-28,HOME,11,ARI,reg,HOU,3,L
2011-05-29,HOME,4,ARI,reg,HOU,2,L
2011-06-07,HOME,7,STL,reg,HOU,4,L
2011-06-08,HOME,1,STL,reg,HOU,4,W
2011-06-09,HOME,9,STL,reg,HOU,2,L
2011-06-10,HOME,11,ATL,reg,HOU,4,L
2011-06-11,HOME,6,ATL,reg,HOU,3,L
2011-06-12,HOME,4,ATL,reg,HOU,1,L
2011-06-13,HOME,3,ATL,reg,HOU,8,W
2011-06-14,HOME,1,PIT,reg,HOU,0,L
2011-06-15,HOME,7,PIT,reg,HOU,3,L
2011-06-16,HOME,5,PIT,reg,HOU,4,L
2011-06-24,HOME,5,TBR,reg,HOU,1,L
2011-06-25,HOME,7,TBR,reg,HOU,2,L
2011-06-26,HOME,14,TBR,reg,HOU,10,L
2011-06-28,HOME,7,TEX,reg,HOU,3,L
2011-06-29,HOME,3,TEX,reg,HOU,2,L
2011-06-30,HOME,0,TEX,reg,HOU,7,W
2011-07-01,HOME,7,BOS,reg,HOU,5,L
2011-07-02,HOME,10,BOS,reg,HOU,4,L
2011-07-03,HOME,2,BOS,reg,HOU,1,L
2011-07-15,HOME,4,PIT,reg,HOU,0,L
2011-07-16,HOME,4,PIT,reg,HOU,6,W
2011-07-17,HOME,7,PIT,reg,HOU,5,L
2011-07-18,HOME,5,WSN,reg,HOU,2,L
2011-07-19,HOME,6,WSN,reg,HOU,7,W
2011-07-20,HOME,2,WSN,reg,HOU,3,W
2011-08-01,HOME,3,CIN,reg,HOU,4,W
2011-08-02,HOME,5,CIN,reg,HOU,1,L
2011-08-03,HOME,4,CIN,reg,HOU,5,W
2011-08-05,HOME,8,MIL,reg,HOU,1,L
2011-08-06,HOME,7,MIL,reg,HOU,5,L
2011-08-07,HOME,7,MIL,reg,HOU,3,L
2011-08-15,HOME,4,CHC,reg,HOU,3,L
2011-08-16,HOME,5,CHC,reg,HOU,6,W
2011-08-17,HOME,3,CHC,reg,HOU,4,W
2011-08-19,HOME,0,SFG,reg,HOU,6,W
2011-08-20,HOME,5,SFG,reg,HOU,7,W
2011-08-21,HOME,6,SFG,reg,HOU,4,L
2011-08-29,HOME,4,PIT,reg,HOU,7,W
2011-08-30,HOME,2,PIT,reg,HOU,8,W
2011-08-31,HOME,0,PIT,reg,HOU,2,W
2011-09-02,HOME,8,MIL,reg,HOU,2,L
2011-09-03,HOME,8,MIL,reg,HOU,2,L
2011-09-04,HOME,4,MIL,reg,HOU,0,L
2011-09-12,HOME,1,PHI,reg,HOU,5,W
2011-09-13,HOME,2,PHI,reg,HOU,5,W
2011-09-14,HOME,1,PHI,reg,HOU,0,L
2011-09-22,HOME,6,COL,reg,HOU,9,W
2011-09-23,HOME,2,COL,reg,HOU,11,W
2011-09-24,HOME,4,COL,reg,HOU,2,L
2011-09-25,HOME,19,COL,reg,HOU,3,L
2011-09-26,HOME,4,STL,reg,HOU,5,W
2011-09-27,HOME,13,STL,reg,HOU,6,L
2011-09-28,HOME,8,STL,reg,HOU,0,L
2012-04-06,HOME,5,COL,reg,HOU,3,L
2012-04-07,HOME,3,COL,reg,HOU,7,W
2012-04-08,HOME,2,COL,reg,HOU,3,W
2012-04-09,HOME,3,ATL,reg,HOU,8,W
2012-04-10,HOME,6,ATL,reg,HOU,4,L
2012-04-11,HOME,6,ATL,reg,HOU,3,L
2012-04-20,HOME,3,LAD,reg,HOU,1,L
2012-04-21,HOME,5,LAD,reg,HOU,1,L
2012-04-22,HOME,0,LAD,reg,HOU,12,W
2012-04-30,HOME,3,NYM,reg,HOU,4,W
2012-05-01,HOME,3,NYM,reg,HOU,6,W
2012-05-02,HOME,1,NYM,reg,HOU,8,W
2012-05-04,HOME,4,STL,reg,HOU,5,W
2012-05-05,HOME,2,STL,reg,HOU,8,W
2012-05-06,HOME,8,STL,reg,HOU,1,L
2012-05-07,HOME,4,MIA,reg,HOU,0,L
2012-05-08,HOME,2,MIA,reg,HOU,3,W
2012-05-09,HOME,5,MIA,reg,HOU,3,L
2012-05-16,HOME,3,MIL,reg,HOU,8,W
2012-05-17,HOME,0,MIL,reg,HOU,4,W
2012-05-18,HOME,4,TEX,reg,HOU,1,L
2012-05-19,HOME,5,TEX,reg,HOU,6,W
2012-05-20,HOME,6,TEX,reg,HOU,1,L
2012-05-21,HOME,4,CHC,reg,HOU,8,W
2012-05-22,HOME,1,CHC,reg,HOU,2,W
2012-05-23,HOME,1,CHC,reg,HOU,5,W
2012-06-01,HOME,4,CIN,reg,HOU,1,L
2012-06-02,HOME,12,CIN,reg,HOU,9,L
2012-06-03,HOME,3,CIN,reg,HOU,5,W
2012-06-05,HOME,8,STL,reg,HOU,9,W
2012-06-06,HOME,4,STL,reg,HOU,3,L
2012-06-07,HOME,14,STL,reg,HOU,2,L
2012-06-18,HOME,7,KCR,reg,HOU,9,W
2012-06-19,HOME,2,KCR,reg,HOU,0,L
2012-06-20,HOME,2,KCR,reg,HOU,1,L
2012-06-22,HOME,2,CLE,reg,HOU,0,L
2012-06-23,HOME,1,CLE,reg,HOU,8,W
2012-06-24,HOME,1,CLE,reg,HOU,7,W
2012-06-25,HOME,8,SDP,reg,HOU,7,L
2012-06-26,HOME,3,SDP,reg,HOU,5,W
2012-06-27,HOME,0,SDP,reg,HOU,1,W
2012-06-28,HOME,7,SDP,reg,HOU,3,L
2012-07-06,HOME,7,MIL,reg,HOU,1,L
2012-07-07,HOME,3,MIL,reg,HOU,6,W
2012-07-08,HOME,5,MIL,reg,HOU,3,L
2012-07-23,HOME,8,CIN,reg,HOU,3,L
2012-07-24,HOME,4,CIN,reg,HOU,2,L
2012-07-25,HOME,5,CIN,reg,HOU,3,L
2012-07-26,HOME,5,PIT,reg,HOU,3,L
2012-07-27,HOME,6,PIT,reg,HOU,5,L
2012-07-28,HOME,4,PIT,reg,HOU,3,L
2012-07-29,HOME,5,PIT,reg,HOU,9,W
2012-08-06,HOME,5,WSN,reg,HOU,4,L
2012-08-07,HOME,3,WSN,reg,HOU,2,L
2012-08-08,HOME,4,WSN,reg,HOU,3,L
2012-08-09,HOME,5,WSN,reg,HOU,0,L
2012-08-10,HOME,3,MIL,reg,HOU,4,W
2012-08-11,HOME,5,MIL,reg,HOU,6,W
2012-08-12,HOME,5,MIL,reg,HOU,3,L
2012-08-17,HOME,3,ARI,reg,HOU,1,L
2012-08-18,HOME,12,ARI,reg,HOU,4,L
2012-08-19,HOME,8,ARI,reg,HOU,1,L
2012-08-28,HOME,3,SFG,reg,HOU,2,L
2012-08-29,HOME,6,SFG,reg,HOU,4,L
2012-08-30,HOME,8,SFG,reg,HOU,4,L
2012-08-31,HOME,9,CIN,reg,HOU,3,L
2012-09-01,HOME,1,CIN,reg,HOU,2,W
2012-09-02,HOME,5,CIN,reg,HOU,3,L
2012-09-10,HOME,4,CHC,reg,HOU,1,L
2012-09-11,HOME,0,CHC,reg,HOU,1,W
2012-09-12,HOME,5,CHC,reg,HOU,1,L
2012-09-13,HOME,4,PHI,reg,HOU,6,W
2012-09-14,HOME,12,PHI,reg,HOU,6,L
2012-09-15,HOME,0,PHI,reg,HOU,5,W
2012-09-16,HOME,6,PHI,reg,HOU,7,W
2012-09-21,HOME,1,PIT,reg,HOU,7,W
2012-09-22,HOME,1,PIT,reg,HOU,4,W
2012-09-23,HOME,8,PIT,reg,HOU,1,L
2012-09-24,HOME,6,STL,reg,HOU,1,L
2012-09-25,HOME,4,STL,reg,HOU,0,L
2012-09-26,HOME,0,STL,reg,HOU,2,W
2013-03-31,HOME,2,TEX,reg,HOU,8,W
2013-04-02,HOME,7,TEX,reg,HOU,0,L
2013-04-03,HOME,4,TEX,reg,HOU,0,L
2013-04-05,HOME,8,OAK,reg,HOU,3,L
2013-04-06,HOME,6,OAK,reg,HOU,3,L
2013-04-07,HOME,9,OAK,reg,HOU,3,L
2013-04-19,HOME,2,CLE,reg,HOU,3,W
2013-04-20,HOME,19,CLE,reg,HOU,6,L
2013-04-21,HOME,5,CLE,reg,HOU,4,L
2013-04-22,HOME,7,SEA,reg,HOU,1,L
2013-04-23,HOME,2,SEA,reg,HOU,3,W
2013-04-24,HOME,3,SEA,reg,HOU,10,W
2013-05-02,HOME,7,DET,reg,HOU,3,L
2013-05-03,HOME,4,DET,reg,HOU,3,L
2013-05-04,HOME,17,DET,reg,HOU,2,L
2013-05-05,HOME,9,DET,reg,HOU,0,L
2013-05-07,HOME,6,LAA,reg,HOU,7,W
2013-05-08,HOME,1,LAA,reg,HOU,3,W
2013-05-09,HOME,6,LAA,reg,HOU,5,L
2013-05-10,HOME,4,TEX,reg,HOU,2,L
2013-05-11,HOME,8,TEX,reg,HOU,7,L
2013-05-12,HOME,12,TEX,reg,HOU,7,L
2013-05-20,HOME,5,KCR,reg,HOU,6,W
2013-05-21,HOME,7,KCR,reg,HOU,3,L
2013-05-22,HOME,1,KCR,reg,HOU,3,W
2013-05-24,HOME,6,OAK,reg,HOU,5,L
2013-05-25,HOME,11,OAK,reg,HOU,5,L
2013-05-26,HOME,6,OAK,reg,HOU,2,L
2013-05-27,HOME,2,COL,reg,HOU,3,W
2013-05-28,HOME,2,COL,reg,HOU,1,L
2013-06-04,HOME,4,BAL,reg,HOU,1,L
2013-06-05,HOME,7,BAL,reg,HOU,11,W
2013-06-06,HOME,3,BAL,reg,HOU,1,L
2013-06-14,HOME,1,CHW,reg,HOU,2,W
2013-06-15,HOME,3,CHW,reg,HOU,4,W
2013-06-16,HOME,4,CHW,reg,HOU,5,W
2013-06-17,HOME,4,CHW,reg,HOU,2,L
2013-06-18,HOME,1,MIL,reg,HOU,10,W
2013-06-19,HOME,3,MIL,reg,HOU,1,L
2013-06-20,HOME,4,MIL,reg,HOU,7,W
2013-06-25,HOME,13,STL,reg,HOU,5,L
2013-06-26,HOME,3,STL,reg,HOU,4,W
2013-06-28,HOME,4,LAA,reg,HOU,2,L
2013-06-29,HOME,7,LAA,reg,HOU,2,L
2013-06-30,HOME,3,LAA,reg,HOU,1,L
2013-07-01,HOME,12,TBR,reg,HOU,0,L
2013-07-02,HOME,8,TBR,reg,HOU,0,L
2013-07-03,HOME,1,TBR,reg,HOU,4,W
2013-07-04,HOME,7,TBR,reg,HOU,5,L
2013-07-19,HOME,10,SEA,reg,HOU,7,L
2013-07-20,HOME,4,SEA,reg,HOU,2,L
2013-07-21,HOME,12,SEA,reg,HOU,5,L
2013-07-22,HOME,4,OAK,reg,HOU,3,L
2013-07-23,HOME,4,OAK,reg,HOU,5,W
2013-07-24,HOME,4,OAK,reg,HOU,3,L
2013-08-05,HOME,0,BOS,reg,HOU,2,W
2013-08-06,HOME,15,BOS,reg,HOU,10,L
2013-08-07,HOME,7,BOS,reg,HOU,5,L
2013-08-09,HOME,9,TEX,reg,HOU,5,L
2013-08-10,HOME,5,TEX,reg,HOU,4,L
2013-08-11,HOME,6,TEX,reg,HOU,1,L
2013-08-12,HOME,2,TEX,reg,HOU,1,L
2013-08-23,HOME,4,TOR,reg,HOU,12,W
2013-08-24,HOME,5,TOR,reg,HOU,8,W
2013-08-25,HOME,2,TOR,reg,HOU,1,L
2013-08-29,HOME,3,SEA,reg,HOU,2,L
2013-08-30,HOME,7,SEA,reg,HOU,1,L
2013-08-31,HOME,3,SEA,reg,HOU,1,L
2013-09-01,HOME,0,SEA,reg,HOU,2,W
2013-09-02,HOME,10,MIN,reg,HOU,6,L
2013-09-03,HOME,9,MIN,reg,HOU,6,L
2013-09-04,HOME,5,MIN,reg,HOU,6,W
2013-09-13,HOME,7,LAA,reg,HOU,9,W
2013-09-14,HOME,6,LAA,reg,HOU,2,L
2013-09-15,HOME,2,LAA,reg,HOU,1,L
2013-09-16,HOME,6,CIN,reg,HOU,1,L
2013-09-17,HOME,10,CIN,reg,HOU,0,L
2013-09-18,HOME,6,CIN,reg,HOU,5,L
2013-09-27,HOME,3,NYY,reg,HOU,2,L
2013-09-28,HOME,2,NYY,reg,HOU,1,L
2013-09-29,HOME,5,NYY,reg,HOU,1,L
2014-04-01,HOME,2,NYY,reg,HOU,6,W
2014-04-02,HOME,1,NYY,reg,HOU,3,W
2014-04-03,HOME,4,NYY,reg,HOU,2,L
2014-04-04,HOME,11,LAA,reg,HOU,1,L
2014-04-05,HOME,5,LAA,reg,HOU,1,L
2014-04-06,HOME,4,LAA,reg,HOU,7,W
2014-04-07,HOME,9,LAA,reg,HOU,1,L
2014-04-15,HOME,4,KCR,reg,HOU,2,L
2014-04-16,HOME,6,KCR,reg,HOU,4,L
2014-04-17,HOME,5,KCR,reg,HOU,1,L
2014-04-24,HOME,10,OAK,reg,HOU,1,L
2014-04-25,HOME,12,OAK,reg,HOU,5,L
2014-04-26,HOME,6,OAK,reg,HOU,7,W
2014-04-27,HOME,1,OAK,reg,HOU,5,W
2014-04-29,HOME,4,WSN,reg,HOU,3,L
2014-04-30,HOME,7,WSN,reg,HOU,0,L
2014-05-02,HOME,4,SEA,reg,HOU,5,W
2014-05-03,HOME,9,SEA,reg,HOU,8,L
2014-05-04,HOME,8,SEA,reg,HOU,7,L
2014-05-12,HOME,4,TEX,reg,HOU,0,L
2014-05-13,HOME,0,TEX,reg,HOU,8,W
2014-05-14,HOME,4,TEX,reg,HOU,5,W
2014-05-16,HOME,7,CHW,reg,HOU,2,L
2014-05-17,HOME,5,CHW,reg,HOU,6,W
2014-05-18,HOME,2,CHW,reg,HOU,8,W
2014-05-29,HOME,1,BAL,reg,HOU,3,W
2014-05-30,HOME,1,BAL,reg,HOU,2,W
2014-05-31,HOME,4,BAL,reg,HOU,1,L
2014-06-01,HOME,9,BAL,reg,HOU,4,L
2014-06-03,HOME,2,LAA,reg,HOU,7,W
2014-06-04,HOME,4,LAA,reg,HOU,0,L
2014-06-05,HOME,5,LAA,reg,HOU,8,W
2014-06-11,HOME,1,ARI,reg,HOU,5,W
2014-06-12,HOME,4,ARI,reg,HOU,5,W
2014-06-13,HOME,6,TBR,reg,HOU,1,L
2014-06-14,HOME,3,TBR,reg,HOU,7,W
2014-06-15,HOME,4,TBR,reg,HOU,3,L
2014-06-24,HOME,3,ATL,reg,HOU,2,L
2014-06-25,HOME,4,ATL,reg,HOU,0,L
2014-06-26,HOME,1,ATL,reg,HOU,6,W
2014-06-27,HOME,3,DET,reg,HOU,4,W
2014-06-28,HOME,4,DET,reg,HOU,3,L
2014-06-29,HOME,4,DET,reg,HOU,6,W
2014-06-30,HOME,10,SEA,reg,HOU,4,L
2014-07-01,HOME,13,SEA,reg,HOU,2,L
2014-07-02,HOME,5,SEA,reg,HOU,2,L
2014-07-11,HOME,8,BOS,reg,HOU,3,L
2014-07-12,HOME,2,BOS,reg,HOU,3,W
2014-07-13,HOME,11,BOS,reg,HOU,0,L
2014-07-25,HOME,2,MIA,reg,HOU,0,L
2014-07-26,HOME,7,MIA,reg,HOU,3,L
2014-07-27,HOME,4,MIA,reg,HOU,2,L
2014-07-28,HOME,3,OAK,reg,HOU,7,W
2014-07-29,HOME,7,OAK,reg,HOU,4,L
2014-07-30,HOME,1,OAK,reg,HOU,8,W
2014-07-31,HOME,6,TOR,reg,HOU,5,L
2014-08-01,HOME,1,TOR,reg,HOU,3,W
2014-08-02,HOME,2,TOR,reg,HOU,8,W
2014-08-03,HOME,1,TOR,reg,HOU,6,W
2014-08-08,HOME,3,TEX,reg,HOU,4,W
2014-08-09,HOME,3,TEX,reg,HOU,8,W
2014-08-10,HOME,6,TEX,reg,HOU,2,L
2014-08-11,HOME,4,MIN,reg,HOU,2,L
2014-08-12,HOME,4,MIN,reg,HOU,10,W
2014-08-13,HOME,3,MIN,reg,HOU,1,L
2014-08-25,HOME,8,OAK,reg,HOU,2,L
2014-08-26,HOME,2,OAK,reg,HOU,4,W
2014-08-27,HOME,5,OAK,reg,HOU,4,L
2014-08-28,HOME,2,TEX,reg,HOU,4,W
2014-08-29,HOME,13,TEX,reg,HOU,6,L
2014-08-30,HOME,0,TEX,reg,HOU,2,W
2014-08-31,HOME,2,TEX,reg,HOU,3,W
2014-09-02,HOME,3,LAA,reg,HOU,8,W
2014-09-03,HOME,1,LAA,reg,HOU,4,W
2014-09-15,HOME,1,CLE,reg,HOU,3,W
2014-09-16,HOME,4,CLE,reg,HOU,2,L
2014-09-17,HOME,2,CLE,reg,HOU,0,L
2014-09-18,HOME,2,CLE,reg,HOU,1,L
2014-09-19,HOME,10,SEA,reg,HOU,5,L
2014-09-20,HOME,1,SEA,reg,HOU,10,W
2014-09-21,HOME,3,SEA,reg,HOU,8,W
2015-04-06,HOME,0,CLE,reg,HOU,2,W
2015-04-08,HOME,2,CLE,reg,HOU,0,L
2015-04-09,HOME,5,CLE,reg,HOU,1,L
2015-04-13,HOME,8,OAK,reg,HOU,1,L
2015-04-14,HOME,4,OAK,reg,HOU,0,L
2015-04-15,HOME,1,OAK,reg,HOU,6,W
2015-04-17,HOME,6,LAA,reg,HOU,3,L
2015-04-18,HOME,0,LAA,reg,HOU,4,W
2015-04-19,HOME,3,LAA,reg,HOU,4,W
2015-04-30,HOME,2,SEA,reg,HOU,3,W
2015-05-01,HOME,3,SEA,reg,HOU,4,W
2015-05-02,HOME,4,SEA,reg,HOU,11,W
2015-05-03,HOME,6,SEA,reg,HOU,7,W
2015-05-04,HOME,2,TEX,reg,HOU,1,L
2015-05-05,HOME,7,TEX,reg,HOU,1,L
2015-05-06,HOME,11,TEX,reg,HOU,3,L
2015-05-12,HOME,8,SFG,reg,HOU,1,L
2015-05-13,HOME,3,SFG,reg,HOU,4,W
2015-05-14,HOME,4,TOR,reg,HOU,6,W
2015-05-15,HOME,4,TOR,reg,HOU,8,W
2015-05-16,HOME,5,TOR,reg,HOU,6,W
2015-05-17,HOME,2,TOR,reg,HOU,4,W
2015-05-18,HOME,2,OAK,reg,HOU,1,L
2015-05-19,HOME,4,OAK,reg,HOU,6,W
2015-05-20,HOME,1,OAK,reg,HOU,6,W
2015-05-29,HOME,6,CHW,reg,HOU,3,L
2015-05-30,HOME,0,CHW,reg,HOU,3,W
2015-05-31,HOME,6,CHW,reg,HOU,0,L
2015-06-01,HOME,2,BAL,reg,HOU,5,W
2015-06-02,HOME,4,BAL,reg,HOU,6,W
2015-06-03,HOME,1,BAL,reg,HOU,3,W
2015-06-04,HOME,3,BAL,reg,HOU,2,L
2015-06-12,HOME,0,SEA,reg,HOU,10,W
2015-06-13,HOME,8,SEA,reg,HOU,1,L
2015-06-14,HOME,0,SEA,reg,HOU,13,W
2015-06-15,HOME,3,COL,reg,HOU,6,W
2015-06-16,HOME,5,COL,reg,HOU,8,W
2015-06-25,HOME,0,NYY,reg,HOU,4,W
2015-06-26,HOME,3,NYY,reg,HOU,2,L
2015-06-27,HOME,9,NYY,reg,HOU,6,L
2015-06-28,HOME,1,NYY,reg,HOU,3,W
2015-06-29,HOME,1,KCR,reg,HOU,6,W
2015-06-30,HOME,0,KCR,reg,HOU,4,W
2015-07-01,HOME,5,KCR,reg,HOU,6,W
2015-07-17,HOME,2,TEX,reg,HOU,3,W
2015-07-18,HOME,7,TEX,reg,HOU,6,L
2015-07-19,HOME,0,TEX,reg,HOU,10,W
2015-07-21,HOME,3,BOS,reg,HOU,8,W
2015-07-22,HOME,2,BOS,reg,HOU,4,W
2015-07-23,HOME,4,BOS,reg,HOU,5,W
2015-07-28,HOME,5,LAA,reg,HOU,10,W
2015-07-29,HOME,3,LAA,reg,HOU,6,W
2015-07-30,HOME,0,LAA,reg,HOU,3,W
2015-07-31,HOME,6,ARI,reg,HOU,4,L
2015-08-01,HOME,2,ARI,reg,HOU,9,W
2015-08-02,HOME,1,ARI,reg,HOU,4,W
2015-08-14,HOME,1,DET,reg,HOU,5,W
2015-08-15,HOME,4,DET,reg,HOU,2,L
2015-08-16,HOME,5,DET,reg,HOU,6,W
2015-08-17,HOME,9,TBR,reg,HOU,2,L
2015-08-18,HOME,2,TBR,reg,HOU,3,W
2015-08-19,HOME,2,TBR,reg,HOU,3,W
2015-08-20,HOME,1,TBR,reg,HOU,0,L
2015-08-21,HOME,0,LAD,reg,HOU,3,W
2015-08-22,HOME,1,LAD,reg,HOU,3,W
2015-08-23,HOME,2,LAD,reg,HOU,3,W
2015-08-31,HOME,3,SEA,reg,HOU,8,W
2015-09-01,HOME,7,SEA,reg,HOU,5,L
2015-09-02,HOME,8,SEA,reg,HOU,3,L
2015-09-04,HOME,0,MIN,reg,HOU,8,W
2015-09-05,HOME,3,MIN,reg,HOU,2,L
2015-09-06,HOME,5,MIN,reg,HOU,8,W
2015-09-18,HOME,4,OAK,reg,HOU,3,L
2015-09-19,HOME,6,OAK,reg,HOU,10,W
2015-09-20,HOME,1,OAK,reg,HOU,5,W
2015-09-21,HOME,3,LAA,reg,HOU,6,W
2015-09-22,HOME,4,LAA,reg,HOU,3,L
2015-09-23,HOME,6,LAA,reg,HOU,5,L
2015-09-25,HOME,6,TEX,reg,HOU,2,L
2015-09-26,HOME,7,TEX,reg,HOU,9,W
2015-09-27,HOME,2,TEX,reg,HOU,4,W
2016-04-11,HOME,2,KCR,reg,HOU,8,W
2016-04-12,HOME,3,KCR,reg,HOU,2,L
2016-04-13,HOME,4,KCR,reg,HOU,2,L
2016-04-14,HOME,6,KCR,reg,HOU,2,L
2016-04-15,HOME,0,DET,reg,HOU,1,W
2016-04-16,HOME,5,DET,reg,HOU,3,L
2016-04-17,HOME,4,DET,reg,HOU,5,W
2016-04-22,HOME,6,BOS,reg,HOU,2,L
2016-04-23,HOME,3,BOS,reg,HOU,8,W
2016-04-24,HOME,7,BOS,reg,HOU,5,L
2016-05-02,HOME,6,MIN,reg,HOU,2,L
2016-05-03,HOME,4,MIN,reg,HOU,6,W
2016-05-04,HOME,4,MIN,reg,HOU,16,W
