date,team,opponent,win_lost,runs,runs_against,season
2010-10-01,HOU,CHC,L,0,2,regular
2010-10-02,HOU,CHC,L,3,8,regular
2010-10-03,HOU,CHC,W,4,0,regular
2011-04-08,HOU,FLA,L,3,4,regular
2011-04-09,HOU,FLA,L,5,7,regular
2011-04-10,HOU,FLA,W,7,1,regular
2011-04-11,HOU,CHC,L,4,5,regular
2011-04-12,HOU,CHC,W,11,2,regular
2011-04-13,HOU,CHC,L,5,9,regular
2011-04-14,HOU,SDP,W,1,0,regular
2011-04-15,HOU,SDP,L,2,4,regular
2011-04-16,HOU,SDP,W,5,3,regular
2011-04-17,HOU,SDP,L,6,8,regular
2011-04-26,HOU,STL,W,6,5,regular
2011-04-27,HOU,STL,L,5,6,regular
2011-04-28,HOU,STL,L,7,11,regular
2011-04-29,HOU,MIL,L,0,5,regular
2011-04-30,HOU,MIL,W,2,1,regular
2011-05-01,HOU,MIL,W,5,0,regular
2011-05-09,HOU,CIN,L,1,6,regular
2011-05-10,HOU,CIN,L,3,7,regular
2011-05-11,HOU,CIN,W,4,3,regular
2011-05-13,HOU,NYM,L,4,6,regular
2011-05-14,HOU,NYM,W,7,3,regular
2011-05-15,HOU,NYM,L,4,7,regular
2011-05-23,HOU,LAD,W,4,3,regular
2011-05-24,HOU,LAD,L,4,5,regular
2011-05-25,HOU,LAD,W,2,1,regular
2011-05-27,HOU,ARI,L,6,7,regular
2011-05-28,HOU,ARI,L,3,11,regular
2011-05-29,HOU,ARI,L,2,4,regular
2011-06-07,HOU,STL,L,4,7,regular
2011-06-08,HOU,STL,W,4,1,regular
2011-06-09,HOU,STL,L,2,9,regular
2011-06-10,HOU,ATL,L,4,11,regular
2011-06-11,HOU,ATL,L,3,6,regular
2011-06-12,HOU,ATL,L,1,4,regular
2011-06-13,HOU,ATL,W,8,3,regular
2011-06-14,HOU,PIT,L,0,1,regular
2011-06-15,HOU,PIT,L,3,7,regular
2011-06-16,HOU,PIT,L,4,5,regular
2011-06-24,HOU,TBR,L,1,5,regular
2011-06-25,HOU,TBR,L,2,7,regular
2011-06-26,HOU,TBR,L,10,14,regular
2011-06-28,HOU,TEX,L,3,7,regular
2011-06-29,HOU,TEX,L,2,3,regular
2011-06-30,HOU,TEX,W,7,0,regular
2011-07-01,HOU,BOS,L,5,7,regular
2011-07-02,HOU,BOS,L,4,10,regular
2011-07-03,HOU,BOS,L,1,2,regular
2011-07-15,HOU,PIT,L,0,4,regular
2011-07-16,HOU,PIT,W,6,4,regular
2011-07-17,HOU,PIT,L,5,7,regular
2011-07-18,HOU,WSN,L,2,5,regular
2011-07-19,HOU,WSN,W,7,6,regular
2011-07-20,HOU,WSN,W,3,2,regular
2011-08-01,HOU,CIN,W,4,3,regular
2011-08-02,HOU,CIN,L,1,5,regular
2011-08-03,HOU,CIN,W,5,4,regular
2011-08-05,HOU,MIL,L,1,8,regular
2011-08-06,HOU,MIL,L,5,7,regular
2011-08-07,HOU,MIL,L,3,7,regular
2011-08-15,HOU,CHC,L,3,4,regular
2011-08-16,HOU,CHC,W,6,5,regular
2011-08-17,HOU,CHC,W,4,3,regular
2011-08-19,HOU,SFG,W,6,0,regular
2011-08-20,HOU,SFG,W,7,5,regular
2011-08-21,HOU,SFG,L,4,6,regular
2011-08-29,HOU,PIT,W,7,4,regular
2011-08-30,HOU,PIT,W,8,2,regular
2011-08-31,HOU,PIT,W,2,0,regular
2011-09-02,HOU,MIL,L,2,8,regular
2011-09-03,HOU,MIL,L,2,8,regular
2011-09-04,HOU,MIL,L,0,4,regular
2011-09-12,HOU,PHI,W,5,1,regular
2011-09-13,HOU,PHI,W,5,2,regular
2011-09-14,HOU,PHI,L,0,1,regular
2011-09-22,HOU,COL,W,9,6,regular
2011-09-23,HOU,COL,W,11,2,regular
2011-09-24,HOU,COL,L,2,4,regular
2011-09-25,HOU,COL,L,3,19,regular
2011-09-26,HOU,STL,W,5,4,regular
2011-09-27,HOU,STL,L,6,13,regular
2011-09-28,HOU,STL,L,0,8,regular
2012-04-06,HOU,COL,L,3,5,regular
2012-04-07,HOU,COL,W,7,3,regular
2012-04-08,HOU,COL,W,3,2,regular
2012-04-09,HOU,ATL,W,8,3,regular
2012-04-10,HOU,ATL,L,4,6,regular
2012-04-11,HOU,ATL,L,3,6,regular
2012-04-20,HOU,LAD,L,1,3,regular
2012-04-21,HOU,LAD,L,1,5,regular
2012-04-22,HOU,LAD,W,12,0,regular
2012-04-30,HOU,NYM,W,4,3,regular
2012-05-01,HOU,NYM,W,6,3,regular
2012-05-02,HOU,NYM,W,8,1,regular
2012-05-04,HOU,STL,W,5,4,regular
2012-05-05,HOU,STL,W,8,2,regular
2012-05-06,HOU,STL,L,1,8,regular
2012-05-07,HOU,MIA,L,0,4,regular
2012-05-08,HOU,MIA,W,3,2,regular
2012-05-09,HOU,MIA,L,3,5,regular
2012-05-16,HOU,MIL,W,8,3,regular
2012-05-17,HOU,MIL,W,4,0,regular
2012-05-18,HOU,TEX,L,1,4,regular
2012-05-19,HOU,TEX,W,6,5,regular
2012-05-20,HOU,TEX,L,1,6,regular
2012-05-21,HOU,CHC,W,8,4,regular
2012-05-22,HOU,CHC,W,2,1,regular
2012-05-23,HOU,CHC,W,5,1,regular
2012-06-01,HOU,CIN,L,1,4,regular
2012-06-02,HOU,CIN,L,9,12,regular
2012-06-03,HOU,CIN,W,5,3,regular
2012-06-05,HOU,STL,W,9,8,regular
2012-06-06,HOU,STL,L,3,4,regular
2012-06-07,HOU,STL,L,2,14,regular
2012-06-18,HOU,KCR,W,9,7,regular
2012-06-19,HOU,KCR,L,0,2,regular
2012-06-20,HOU,KCR,L,1,2,regular
2012-06-22,HOU,CLE,L,0,2,regular
2012-06-23,HOU,CLE,W,8,1,regular
2012-06-24,HOU,CLE,W,7,1,regular
2012-06-25,HOU,SDP,L,7,8,regular
2012-06-26,HOU,SDP,W,5,3,regular
2012-06-27,HOU,SDP,W,1,0,regular
2012-06-28,HOU,SDP,L,3,7,regular
2012-07-06,HOU,MIL,L,1,7,regular
2012-07-07,HOU,MIL,W,6,3,regular
2012-07-08,HOU,MIL,L,3,5,regular
2012-07-23,HOU,CIN,L,3,8,regular
2012-07-24,HOU,CIN,L,2,4,regular
2012-07-25,HOU,CIN,L,3,5,regular
2012-07-26,HOU,PIT,L,3,5,regular
2012-07-27,HOU,PIT,L,5,6,regular
2012-07-28,HOU,PIT,L,3,4,regular
2012-07-29,HOU,PIT,W,9,5,regular
2012-08-06,HOU,WSN,L,4,5,regular
2012-08-07,HOU,WSN,L,2,3,regular
2012-08-08,HOU,WSN,L,3,4,regular
2012-08-09,HOU,WSN,L,0,5,regular
2012-08-10,HOU,MIL,W,4,3,regular
2012-08-11,HOU,MIL,W,6,5,regular
2012-08-12,HOU,MIL,L,3,5,regular
2012-08-17,HOU,ARI,L,1,3,regular
2012-08-18,HOU,ARI,L,4,12,regular
2012-08-19,HOU,ARI,L,1,8,regular
2012-08-28,HOU,SFG,L,2,3,regular
2012-08-29,HOU,SFG,L,4,6,regular
2012-08-30,HOU,SFG,L,4,8,regular
2012-08-31,HOU,CIN,L,3,9,regular
2012-09-01,HOU,CIN,W,2,1,regular
2012-09-02,HOU,CIN,L,3,5,regular
2012-09-10,HOU,CHC,L,1,4,regular
2012-09-11,HOU,CHC,W,1,0,regular
2012-09-12,HOU,CHC,L,1,5,regular
2012-09-13,HOU,PHI,W,6,4,regular
2012-09-14,HOU,PHI,L,6,12,regular
2012-09-15,HOU,PHI,W,5,0,regular
2012-09-16,HOU,PHI,W,7,6,regular
2012-09-21,HOU,PIT,W,7,1,regular
2012-09-22,HOU,PIT,W,4,1,regular
2012-09-23,HOU,PIT,L,1,8,regular
2012-09-24,HOU,STL,L,1,6,regular
2012-09-25,HOU,STL,L,0,4,regular
2012-09-26,HOU,STL,W,2,0,regular
2013-03-31,HOU,TEX,W,8,2,regular
2013-04-02,HOU,TEX,L,0,7,regular
2013-04-03,HOU,TEX,L,0,4,regular
2013-04-05,HOU,OAK,L,3,8,regular
2013-04-06,HOU,OAK,L,3,6,regular
2013-04-07,HOU,OAK,L,3,9,regular
2013-04-19,HOU,CLE,W,3,2,regular
2013-04-20,HOU,CLE,L,6,19,regular
2013-04-21,HOU,CLE,L,4,5,regular
2013-04-22,HOU,SEA,L,1,7,regular
2013-04-23,HOU,SEA,W,3,2,regular
2013-04-24,HOU,SEA,W,10,3,regular
2013-05-02,HOU,DET,L,3,7,regular
2013-05-03,HOU,DET,L,3,4,regular
2013-05-04,HOU,DET,L,2,17,regular
2013-05-05,HOU,DET,L,0,9,regular
2013-05-07,HOU,LAA,W,7,6,regular
2013-05-08,HOU,LAA,W,3,1,regular
2013-05-09,HOU,LAA,L,5,6,regular
2013-05-10,HOU,TEX,L,2,4,regular
2013-05-11,HOU,TEX,L,7,8,regular
2013-05-12,HOU,TEX,L,7,12,regular
2013-05-20,HOU,KCR,W,6,5,regular
2013-05-21,HOU,KCR,L,3,7,regular
2013-05-22,HOU,KCR,W,3,1,regular
2013-05-24,HOU,OAK,L,5,6,regular
2013-05-25,HOU,OAK,L,5,11,regular
2013-05-26,HOU,OAK,L,2,6,regular
2013-05-27,HOU,COL,W,3,2,regular
2013-05-28,HOU,COL,L,1,2,regular
2013-06-04,HOU,BAL,L,1,4,regular
2013-06-05,HOU,BAL,W,11,7,regular
2013-06-06,HOU,BAL,L,1,3,regular
2013-06-14,HOU,CHW,W,2,1,regular
2013-06-15,HOU,CHW,W,4,3,regular
2013-06-16,HOU,CHW,W,5,4,regular
2013-06-17,HOU,CHW,L,2,4,regular
2013-06-18,HOU,MIL,W,10,1,regular
2013-06-19,HOU,MIL,L,1,3,regular
2013-06-20,HOU,MIL,W,7,4,regular
2013-06-25,HOU,STL,L,5,13,regular
2013-06-26,HOU,STL,W,4,3,regular
2013-06-28,HOU,LAA,L,2,4,regular
2013-06-29,HOU,LAA,L,2,7,regular
2013-06-30,HOU,LAA,L,1,3,regular
2013-07-01,HOU,TBR,L,0,12,regular
2013-07-02,HOU,TBR,L,0,8,regular
2013-07-03,HOU,TBR,W,4,1,regular
2013-07-04,HOU,TBR,L,5,7,regular
2013-07-19,HOU,SEA,L,7,10,regular
2013-07-20,HOU,SEA,L,2,4,regular
2013-07-21,HOU,SEA,L,5,12,regular
2013-07-22,HOU,OAK,L,3,4,regular
2013-07-23,HOU,OAK,W,5,4,regular
2013-07-24,HOU,OAK,L,3,4,regular
2013-08-05,HOU,BOS,W,2,0,regular
2013-08-06,HOU,BOS,L,10,15,regular
2013-08-07,HOU,BOS,L,5,7,regular
2013-08-09,HOU,TEX,L,5,9,regular
2013-08-10,HOU,TEX,L,4,5,regular
2013-08-11,HOU,TEX,L,1,6,regular
2013-08-12,HOU,TEX,L,1,2,regular
2013-08-23,HOU,TOR,W,12,4,regular
2013-08-24,HOU,TOR,W,8,5,regular
2013-08-25,HOU,TOR,L,1,2,regular
2013-08-29,HOU,SEA,L,2,3,regular
2013-08-30,HOU,SEA,L,1,7,regular
2013-08-31,HOU,SEA,L,1,3,regular
2013-09-01,HOU,SEA,W,2,0,regular
2013-09-02,HOU,MIN,L,6,10,regular
2013-09-03,HOU,MIN,L,6,9,regular
2013-09-04,HOU,MIN,W,6,5,regular
2013-09-13,HOU,LAA,W,9,7,regular
2013-09-14,HOU,LAA,L,2,6,regular
2013-09-15,HOU,LAA,L,1,2,regular
2013-09-16,HOU,CIN,L,1,6,regular
2013-09-17,HOU,CIN,L,0,10,regular
2013-09-18,HOU,CIN,L,5,6,regular
2013-09-27,HOU,NYY,L,2,3,regular
2013-09-28,HOU,NYY,L,1,2,regular
2013-09-29,HOU,NYY,L,1,5,regular
2014-04-01,HOU,NYY,W,6,2,regular
2014-04-02,HOU,NYY,W,3,1,regular
2014-04-03,HOU,NYY,L,2,4,regular
2014-04-04,HOU,LAA,L,1,11,regular
2014-04-05,HOU,LAA,L,1,5,regular
2014-04-06,HOU,LAA,W,7,4,regular
2014-04-07,HOU,LAA,L,1,9,regular
2014-04-15,HOU,KCR,L,2,4,regular
2014-04-16,HOU,KCR,L,4,6,regular
2014-04-17,HOU,KCR,L,1,5,regular
2014-04-24,HOU,OAK,L,1,10,regular
2014-04-25,HOU,OAK,L,5,12,regular
2014-04-26,HOU,OAK,W,7,6,regular
2014-04-27,HOU,OAK,W,5,1,regular
2014-04-29,HOU,WSN,L,3,4,regular
2014-04-30,HOU,WSN,L,0,7,regular
2014-05-02,HOU,SEA,W,5,4,regular
2014-05-03,HOU,SEA,L,8,9,regular
2014-05-04,HOU,SEA,L,7,8,regular
2014-05-12,HOU,TEX,L,0,4,regular
2014-05-13,HOU,TEX,W,8,0,regular
2014-05-14,HOU,TEX,W,5,4,regular
2014-05-16,HOU,CHW,L,2,7,regular
2014-05-17,HOU,CHW,W,6,5,regular
2014-05-18,HOU,CHW,W,8,2,regular
2014-05-29,HOU,BAL,W,3,1,regular
2014-05-30,HOU,BAL,W,2,1,regular
2014-05-31,HOU,BAL,L,1,4,regular
2014-06-01,HOU,BAL,L,4,9,regular
2014-06-03,HOU,LAA,W,7,2,regular
2014-06-04,HOU,LAA,L,0,4,regular
2014-06-05,HOU,LAA,W,8,5,regular
2014-06-11,HOU,ARI,W,5,1,regular
2014-06-12,HOU,ARI,W,5,4,regular
2014-06-13,HOU,TBR,L,1,6,regular
2014-06-14,HOU,TBR,W,7,3,regular
2014-06-15,HOU,TBR,L,3,4,regular
2014-06-24,HOU,ATL,L,2,3,regular
2014-06-25,HOU,ATL,L,0,4,regular
2014-06-26,HOU,ATL,W,6,1,regular
2014-06-27,HOU,DET,W,4,3,regular
2014-06-28,HOU,DET,L,3,4,regular
2014-06-29,HOU,DET,W,6,4,regular
2014-06-30,HOU,SEA,L,4,10,regular
2014-07-01,HOU,SEA,L,2,13,regular
2014-07-02,HOU,SEA,L,2,5,regular
2014-07-11,HOU,BOS,L,3,8,regular
2014-07-12,HOU,BOS,W,3,2,regular
2014-07-13,HOU,BOS,L,0,11,regular
2014-07-25,HOU,MIA,L,0,2,regular
2014-07-26,HOU,MIA,L,3,7,regular
2014-07-27,HOU,MIA,L,2,4,regular
2014-07-28,HOU,OAK,W,7,3,regular
2014-07-29,HOU,OAK,L,4,7,regular
2014-07-30,HOU,OAK,W,8,1,regular
2014-07-31,HOU,TOR,L,5,6,regular
2014-08-01,HOU,TOR,W,3,1,regular
2014-08-02,HOU,TOR,W,8,2,regular
2014-08-03,HOU,TOR,W,6,1,regular
2014-08-08,HOU,TEX,W,4,3,regular
2014-08-09,HOU,TEX,W,8,3,regular
2014-08-10,HOU,TEX,L,2,6,regular
2014-08-11,HOU,MIN,L,2,4,regular
2014-08-12,HOU,MIN,W,10,4,regular
2014-08-13,HOU,MIN,L,1,3,regular
2014-08-25,HOU,OAK,L,2,8,regular
2014-08-26,HOU,OAK,W,4,2,regular
2014-08-27,HOU,OAK,L,4,5,regular
2014-08-28,HOU,TEX,W,4,2,regular
2014-08-29,HOU,TEX,L,6,13,regular
2014-08-30,HOU,TEX,W,2,0,regular
2014-08-31,HOU,TEX,W,3,2,regular
2014-09-02,HOU,LAA,W,8,3,regular
2014-09-03,HOU,LAA,W,4,1,regular
2014-09-15,HOU,CLE,W,3,1,regular
2014-09-16,HOU,CLE,L,2,4,regular
2014-09-17,HOU,CLE,L,0,2,regular
2014-09-18,HOU,CLE,L,1,2,regular
2014-09-19,HOU,SEA,L,5,10,regular
2014-09-20,HOU,SEA,W,10,1,regular
2014-09-21,HOU,SEA,W,8,3,regular
2015-04-06,HOU,CLE,W,2,0,regular
2015-04-08,HOU,CLE,L,0,2,regular
2015-04-09,HOU,CLE,L,1,5,regular
2015-04-13,HOU,OAK,L,1,8,regular
2015-04-14,HOU,OAK,L,0,4,regular
2015-04-15,HOU,OAK,W,6,1,regular
2015-04-17,HOU,LAA,L,3,6,regular
2015-04-18,HOU,LAA,W,4,0,regular
2015-04-19,HOU,LAA,W,4,3,regular
2015-04-30,HOU,SEA,W,3,2,regular
2015-05-01,HOU,SEA,W,4,3,regular
2015-05-02,HOU,SEA,W,11,4,regular
2015-05-03,HOU,SEA,W,7,6,regular
2015-05-04,HOU,TEX,L,1,2,regular
2015-05-05,HOU,TEX,L,1,7,regular
2015-05-06,HOU,TEX,L,3,11,regular
2015-05-12,HOU,SFG,L,1,8,regular
2015-05-13,HOU,SFG,W,4,3,regular
2015-05-14,HOU,TOR,W,6,4,regular
2015-05-15,HOU,TOR,W,8,4,regular
2015-05-16,HOU,TOR,W,6,5,regular
2015-05-17,HOU,TOR,W,4,2,regular
2015-05-18,HOU,OAK,L,1,2,regular
2015-05-19,HOU,OAK,W,6,4,regular
2015-05-20,HOU,OAK,W,6,1,regular
2015-05-29,HOU,CHW,L,3,6,regular
2015-05-30,HOU,CHW,W,3,0,regular
2015-05-31,HOU,CHW,L,0,6,regular
2015-06-01,HOU,BAL,W,5,2,regular
2015-06-02,HOU,BAL,W,6,4,regular
2015-06-03,HOU,BAL,W,3,1,regular
2015-06-04,HOU,BAL,L,2,3,regular
2015-06-12,HOU,SEA,W,10,0,regular
2015-06-13,HOU,SEA,L,1,8,regular
2015-06-14,HOU,SEA,W,13,0,regular
2015-06-15,HOU,COL,W,6,3,regular
2015-06-16,HOU,COL,W,8,5,regular
2015-06-25,HOU,NYY,W,4,0,regular
2015-06-26,HOU,NYY,L,2,3,regular
2015-06-27,HOU,NYY,L,6,9,regular
2015-06-28,HOU,NYY,W,3,1,regular
2015-06-29,HOU,KCR,W,6,1,regular
2015-06-30,HOU,KCR,W,4,0,regular
2015-07-01,HOU,KCR,W,6,5,regular
2015-07-17,HOU,TEX,W,3,2,regular
2015-07-18,HOU,TEX,L,6,7,regular
2015-07-19,HOU,TEX,W,10,0,regular
2015-07-21,HOU,BOS,W,8,3,regular
2015-07-22,HOU,BOS,W,4,2,regular
2015-07-23,HOU,BOS,W,5,4,regular
2015-07-28,HOU,LAA,W,10,5,regular
2015-07-29,HOU,LAA,W,6,3,regular
2015-07-30,HOU,LAA,W,3,0,regular
2015-07-31,HOU,ARI,L,4,6,regular
2015-08-01,HOU,ARI,W,9,2,regular
2015-08-02,HOU,ARI,W,4,1,regular
2015-08-14,HOU,DET,W,5,1,regular
2015-08-15,HOU,DET,L,2,4,regular
2015-08-16,HOU,DET,W,6,5,regular
2015-08-17,HOU,TBR,L,2,9,regular
2015-08-18,HOU,TBR,W,3,2,regular
2015-08-19,HOU,TBR,W,3,2,regular
2015-08-20,HOU,TBR,L,0,1,regular
2015-08-21,HOU,LAD,W,3,0,regular
2015-08-22,HOU,LAD,W,3,1,regular
2015-08-23,HOU,LAD,W,3,2,regular
2015-08-31,HOU,SEA,W,8,3,regular
2015-09-01,HOU,SEA,L,5,7,regular
2015-09-02,HOU,SEA,L,3,8,regular
2015-09-04,HOU,MIN,W,8,0,regular
2015-09-05,HOU,MIN,L,2,3,regular
2015-09-06,HOU,MIN,W,8,5,regular
2015-09-18,HOU,OAK,L,3,4,regular
2015-09-19,HOU,OAK,W,10,6,regular
2015-09-20,HOU,OAK,W,5,1,regular
2015-09-21,HOU,LAA,W,6,3,regular
2015-09-22,HOU,LAA,L,3,4,regular
2015-09-23,HOU,LAA,L,5,6,regular
2015-09-25,HOU,TEX,L,2,6,regular
2015-09-26,HOU,TEX,W,9,7,regular
2015-09-27,HOU,TEX,W,4,2,regular
2016-04-11,HOU,KCR,W,8,2,regular
2016-04-12,HOU,KCR,L,2,3,regular
2016-04-13,HOU,KCR,L,2,4,regular
2016-04-14,HOU,KCR,L,2,6,regular
2016-04-15,HOU,DET,W,1,0,regular
2016-04-16,HOU,DET,L,3,5,regular
2016-04-17,HOU,DET,W,5,4,regular
2016-04-22,HOU,BOS,L,2,6,regular
2016-04-23,HOU,BOS,W,8,3,regular
2016-04-24,HOU,BOS,L,5,7,regular
2016-05-02,HOU,MIN,L,2,6,regular
2016-05-03,HOU,MIN,W,6,4,regular
2016-05-04,HOU,MIN,W,16,4,regular
2016-05-05,HOU,SEA,L,3,6,regular
2016-05-06,HOU,SEA,W,6,3,regular
2016-05-07,HOU,SEA,L,2,3,regular
2016-05-08,HOU,SEA,W,5,1,regular
2016-05-09,HOU,CLE,W,7,1,regular
2016-05-10,HOU,CLE,L,0,4,regular
2016-05-11,HOU,CLE,W,5,3,regular
2016-05-20,HOU,TEX,L,1,2,regular
2016-05-21,HOU,TEX,L,1,2,regular
2016-05-22,HOU,TEX,L,2,9,regular
2016-05-24,HOU,BAL,W,3,2,regular
2016-05-25,HOU,BAL,W,4,3,regular
2016-05-26,HOU,BAL,W,4,2,regular
2016-06-01,HOU,ARI,W,5,4,regular
2016-06-02,HOU,ARI,L,0,3,regular
2016-06-03,HOU,OAK,W,12,2,regular
2016-06-04,HOU,OAK,W,6,5,regular
2016-06-05,HOU,OAK,W,5,2,regular
2016-06-17,HOU,CIN,L,2,4,regular
2016-06-18,HOU,CIN,W,5,4,regular
2016-06-19,HOU,CIN,W,6,0,regular
2016-06-20,HOU,LAA,W,10,7,regular
2016-06-21,HOU,LAA,W,3,2,regular
2016-06-22,HOU,LAA,W,3,2,regular
2016-07-01,HOU,CHW,W,5,0,regular
2016-07-02,HOU,CHW,L,6,7,regular
2016-07-03,HOU,CHW,L,1,4,regular
2016-07-04,HOU,SEA,W,2,1,regular
2016-07-05,HOU,SEA,W,5,2,regular
2016-07-06,HOU,SEA,W,9,8,regular
2016-07-07,HOU,OAK,L,1,3,regular
2016-07-08,HOU,OAK,W,10,9,regular
2016-07-09,HOU,OAK,L,2,3,regular
2016-07-10,HOU,OAK,W,2,1,regular
2016-07-22,HOU,LAA,W,2,1,regular
2016-07-23,HOU,LAA,W,7,2,regular
2016-07-24,HOU,LAA,W,13,3,regular
2016-07-25,HOU,NYY,L,1,2,regular
2016-07-26,HOU,NYY,L,3,6,regular
2016-07-27,HOU,NYY,W,4,1,regular
2016-08-01,HOU,TOR,W,2,1,regular
2016-08-02,HOU,TOR,L,1,2,regular
2016-08-03,HOU,TOR,L,1,3,regular
2016-08-04,HOU,TOR,L,1,4,regular
2016-08-05,HOU,TEX,W,5,0,regular
2016-08-06,HOU,TEX,L,2,3,regular
2016-08-07,HOU,TEX,L,3,5,regular
2016-08-16,HOU,STL,L,5,8,regular
2016-08-17,HOU,STL,L,2,8,regular
2016-08-26,HOU,TBR,W,5,4,regular
2016-08-27,HOU,TBR,W,6,2,regular
2016-08-28,HOU,TBR,L,4,10,regular
2016-08-29,HOU,OAK,W,6,0,regular
2016-08-30,HOU,OAK,W,3,1,regular
2016-08-31,HOU,OAK,W,4,3,regular
2016-09-09,HOU,CHC,L,0,2,regular
2016-09-10,HOU,CHC,W,2,1,regular
2016-09-11,HOU,CHC,L,5,9,regular
2016-09-12,HOU,TEX,L,3,4,regular
2016-09-13,HOU,TEX,L,2,3,regular
2016-09-14,HOU,TEX,W,8,4,regular
2016-09-22,HOU,LAA,L,0,2,regular
2016-09-23,HOU,LAA,L,6,10,regular
2016-09-24,HOU,LAA,L,4,10,regular
2016-09-25,HOU,LAA,W,4,1,regular
2016-09-26,HOU,SEA,L,3,4,regular
2016-09-27,HOU,SEA,W,8,4,regular
2016-09-28,HOU,SEA,L,4,12,regular
2017-04-03,HOU,SEA,W,3,0,regular
2017-04-04,HOU,SEA,W,2,1,regular
2017-04-05,HOU,SEA,W,5,3,regular
2017-04-06,HOU,SEA,L,2,4,regular
2017-04-07,HOU,KCR,L,1,5,regular
2017-04-08,HOU,KCR,L,3,7,regular
2017-04-09,HOU,KCR,W,5,4,regular
2017-04-17,HOU,LAA,W,3,0,regular
2017-04-18,HOU,LAA,L,2,5,regular
2017-04-19,HOU,LAA,W,5,1,regular
2017-04-20,HOU,LAA,W,2,1,regular
2017-04-28,HOU,OAK,W,9,4,regular
2017-04-29,HOU,OAK,L,1,2,regular
2017-04-30,HOU,OAK,W,7,2,regular
2017-05-01,HOU,TEX,W,6,2,regular
2017-05-02,HOU,TEX,W,8,7,regular
