Gm#,Year,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
19,2014,Sunday Apr 20,boxscore,HOU,@,OAK,L,1,4,,14-May,5,8.5,Chavez,Peacock,Gregerson,2:54,D,16382,-------,
20,2014,Monday Apr 21,boxscore,HOU,@,SEA,W,7,2,,14-Jun,5,7.5,Keuchel,Hernandez,,2:49,N,14630,+,
21,2014,Tuesday Apr 22,boxscore,HOU,@,SEA,W,5,2,,14-Jul,5,6.5,McHugh,Ramirez,Fields,3:02,N,10466,++,
22,2014,Wednesday Apr 23,boxscore,HOU,@,SEA,L-wo,3,5,,15-Jul,5,7,Rodney,Fields,,2:50,D,13739,-,
23,2014,Thursday Apr 24,boxscore,HOU,,OAK,L,1,10,,16-Jul,5,7.5,Kazmir,Oberholtzer,,3:29,N,19987,--,
24,2014,Friday Apr 25,boxscore,HOU,,OAK,L,5,12,,17-Jul,5,8.5,Gregerson,Fields,,4:06,N,17708,---,
25,2014,Saturday Apr 26,boxscore,HOU,,OAK,W,7,6,,17-Aug,5,7.5,Williams,Doolittle,Valdes,3:13,N,17850,+,
26,2014,Sunday Apr 27,boxscore,HOU,,OAK,W,5,1,,17-Sep,5,6.5,McHugh,Milone,,2:32,D,18935,++,
27,2014,Tuesday Apr 29,boxscore,HOU,,WSN,L,3,4,,18-Sep,5,8,Clippard,Fields,Soriano,3:25,N,23394,-,
28,2014,Wednesday Apr 30,boxscore,HOU,,WSN,L,0,7,,19-Sep,5,9,Zimmermann,Oberholtzer,,3:02,N,25172,--,
29,2014,Friday May 2,boxscore,HOU,,SEA,W-wo,5,4,11,19-Oct,5,8,Bass,Furbush,,4:02,N,15771,+,
30,2014,Saturday May 3,boxscore,HOU,,SEA,L,8,9,,20-Oct,5,8,Iwakuma,Keuchel,Rodney,3:24,D,15798,-,
31,2014,Sunday May 4,boxscore,HOU,,SEA,L,7,8,,21-Oct,5,9,Maurer,McHugh,Farquhar,3:30,D,24996,--,
32,2014,Monday May 5,boxscore,HOU,@,DET,L,0,2,,22-Oct,5,9,Scherzer,Cosart,Nathan,2:53,N,26475,---,
33,2014,Tuesday May 6,boxscore,HOU,@,DET,L,4,11,,23-Oct,5,9,Ray,Oberholtzer,,3:27,N,27939,----,
34,2014,Wednesday May 7,boxscore,HOU,@,DET,L,2,3,,24-Oct,5,9.5,Porcello,Peacock,Nathan,3:06,N,26207,-----,
35,2014,Thursday May 8,boxscore,HOU,@,DET,W,6,2,,24-Nov,5,9,Keuchel,Smyly,,2:37,D,35643,+,
36,2014,Friday May 9,boxscore,HOU,@,BAL,L,3,4,,25-Nov,5,10,Chen,Williams,Hunter,2:29,N,28875,-,
37,2014,Saturday May 10,boxscore,HOU,@,BAL,L-wo,4,5,10,26-Nov,5,11,Webb,Clemens,,3:29,N,26264,--,
38,2014,Sunday May 11,boxscore,HOU,@,BAL,W,5,2,,26-Dec,5,11,Cosart,Tillman,Qualls,3:21,D,45944,+,
39,2014,Monday May 12,boxscore,HOU,,TEX,L,0,4,,27-Dec,5,12,Lewis,Peacock,,3:16,N,14617,-,
40,2014,Tuesday May 13,boxscore,HOU,,TEX,W,8,0,,13-27,5,12,Keuchel,Harrison,,2:45,N,14028,+,
41,2014,Wednesday May 14,boxscore,HOU,,TEX,W-wo,5,4,,14-27,5,11,Qualls,Martinez,,3:36,N,17783,++,
42,2014,Friday May 16,boxscore,HOU,,CHW,L,2,7,,14-28,5,12,Quintana,McHugh,,3:31,N,17529,-,
43,2014,Saturday May 17,boxscore,HOU,,CHW,W,6,5,,15-28,5,12,Cosart,Noesi,Qualls,3:26,D,20612,+,
44,2014,Sunday May 18,boxscore,HOU,,CHW,W,8,2,,16-28,5,12,Peacock,Danks,,2:46,D,21532,++,
45,2014,Monday May 19,boxscore,HOU,@,LAA,W,5,2,,17-28,5,11.5,Keuchel,Richards,,2:40,N,33150,+++,
46,2014,Tuesday May 20,boxscore,HOU,@,LAA,L,3,9,,17-29,5,12.5,Skaggs,Feldman,,3:34,N,30150,-,
47,2014,Wednesday May 21,boxscore,HOU,@,LAA,L,1,2,,17-30,5,13.5,Weaver,McHugh,,2:26,N,40112,--,
48,2014,Thursday May 22,boxscore,HOU,@,SEA,L,1,3,,17-31,5,13.5,Leone,Cosart,Rodney,3:09,N,13836,---,
49,2014,Friday May 23,boxscore,HOU,@,SEA,L,1,6,,17-32,5,13.5,Hernandez,Owens,,2:40,N,21192,----,
50,2014,Saturday May 24,boxscore,HOU,@,SEA,W,9,4,,18-32,5,12.5,Oberholtzer,Maurer,,3:18,N,21585,+,
51,2014,Sunday May 25,boxscore,HOU,@,SEA,W,4,1,,19-32,5,11.5,Keuchel,Iwakuma,,2:28,D,26839,++,
52,2014,Monday May 26,boxscore,HOU,@,KCR,W,9,2,,20-32,5,11.5,Feldman,Ventura,,3:23,N,32070,+++,
53,2014,Tuesday May 27,boxscore,HOU,@,KCR,W,3,0,,21-32,5,10.5,McHugh,Guthrie,,3:02,N,17826,++++,
54,2014,Wednesday May 28,boxscore,HOU,@,KCR,W,9,3,,22-32,5,10.5,Cosart,Duffy,,3:21,D,16220,+++++,
55,2014,Thursday May 29,boxscore,HOU,,BAL,W,3,1,,23-32,5,9.5,Fields,Guilmet,Qualls,2:56,N,22884,++++++,
56,2014,Friday May 30,boxscore,HOU,,BAL,W,2,1,,24-32,5,9.5,Oberholtzer,Gonzalez,Qualls,2:40,N,38482,+++++++,
57,2014,Saturday May 31,boxscore,HOU,,BAL,L,1,4,,24-33,5,10.5,Tillman,Keuchel,Britton,2:45,D,29619,-,
58,2014,Sunday Jun 1,boxscore,HOU,,BAL,L,4,9,,24-34,5,11.5,Chen,Feldman,,3:14,D,17022,--,
59,2014,Tuesday Jun 3,boxscore,HOU,,LAA,W,7,2,,25-34,5,11.5,McHugh,Wilson,,3:31,N,23219,+,
60,2014,Wednesday Jun 4,boxscore,HOU,,LAA,L,0,4,,25-35,5,12.5,Richards,Cosart,,2:53,N,23902,-,
61,2014,Thursday Jun 5,boxscore,HOU,,LAA,W,8,5,,26-35,5,11.5,Peacock,Skaggs,Qualls,3:33,N,24672,+,
62,2014,Friday Jun 6,boxscore,HOU,@,MIN,W,5,4,,27-35,5,11.5,Keuchel,Hughes,Qualls,3:00,N,29448,++,
63,2014,Saturday Jun 7,boxscore,HOU,@,MIN,L,0,8,,27-36,5,11.5,Gibson,Feldman,,3:24,D,27732,-,
64,2014,Sunday Jun 8,boxscore,HOU,@,MIN,W,14,5,,28-36,5,11.5,Downs,Deduno,,3:45,D,31576,+,
65,2014,Monday Jun 9,boxscore,HOU,@,ARI,W,4,3,,29-36,5,10.5,Cosart,Collmenter,Qualls,3:12,N,18805,++,
66,2014,Tuesday Jun 10,boxscore,HOU,@,ARI,L,1,4,,29-37,5,10.5,Arroyo,Fields,Reed,2:40,D,17667,-,
67,2014,Wednesday Jun 11,boxscore,HOU,,ARI,W,5,1,,30-37,5,10.5,Keuchel,McCarthy,,2:22,N,24319,+,
68,2014,Thursday Jun 12,boxscore,HOU,,ARI,W-wo,5,4,10,31-37,5,10,Sipp,Putz,,3:27,N,33457,++,
69,2014,Friday Jun 13,boxscore,HOU,,TBR,L,1,6,,31-38,5,10,Cobb,McHugh,,3:30,N,26829,-,
70,2014,Saturday Jun 14,boxscore,HOU,,TBR,W,7,3,,32-38,5,10,Cosart,Archer,,3:39,D,26264,+,
71,2014,Sunday Jun 15,boxscore,HOU,,TBR,L,3,4,,32-39,5,11,Price,Williams,McGee,3:41,D,25526,-,
72,2014,Tuesday Jun 17,boxscore,HOU,@,WSN,L,5,6,,32-40,5,11.5,Roark,Keuchel,Soriano,3:41,N,29960,--,
73,2014,Wednesday Jun 18,boxscore,HOU,@,WSN,L,5,6,,32-41,5,12.5,Barrett,Downs,Soriano,3:42,N,25453,---,
74,2014,Thursday Jun 19,boxscore,HOU,@,TBR,L,0,5,,32-42,5,13.5,Archer,McHugh,,3:06,N,10880,----,
75,2014,Friday Jun 20,boxscore,HOU,@,TBR,W,3,1,,33-42,5,13.5,Cosart,Price,Qualls,2:59,N,13961,+,
76,2014,Saturday Jun 21,boxscore,HOU,@,TBR,L,0,8,,33-43,5,14.5,Odorizzi,Buchanan,,3:05,D,17551,-,
77,2014,Sunday Jun 22,boxscore,HOU,@,TBR,L,2,5,,33-44,5,14.5,Oviedo,Keuchel,Peralta,2:51,D,13841,--,
78,2014,Tuesday Jun 24,boxscore,HOU,,ATL,L,2,3,,33-45,5,14.5,Harang,Feldman,Kimbrel,3:06,N,18912,---,
79,2014,Wednesday Jun 25,boxscore,HOU,,ATL,L,0,4,,33-46,5,15.5,Wood,McHugh,,2:33,N,20559,----,
80,2014,Thursday Jun 26,boxscore,HOU,,ATL,W,6,1,,34-46,5,15,Cosart,Minor,,2:52,D,24474,+,
81,2014,Friday Jun 27,boxscore,HOU,,DET,W-wo,4,3,11,35-46,5,15,Buchanan,Hardy,,4:05,N,22386,++,
82,2014,Saturday Jun 28,boxscore,HOU,,DET,L,3,4,,35-47,5,16,Coke,Williams,Nathan,3:15,D,25788,-,
83,2014,Sunday Jun 29,boxscore,HOU,,DET,W,6,4,,36-47,5,16,Feldman,Smyly,Sipp,3:25,D,22478,+,
84,2014,Monday Jun 30,boxscore,HOU,,SEA,L,4,10,,36-48,5,16,Walker,McHugh,Wilhelmsen,3:07,N,17340,-,
85,2014,Tuesday Jul 1,boxscore,HOU,,SEA,L,2,13,,36-49,5,16,Iwakuma,Cosart,,3:36,N,17504,--,
86,2014,Wednesday Jul 2,boxscore,HOU,,SEA,L,2,5,,36-50,5,16,Young,Peacock,Rodney,2:47,D,17209,---,
87,2014,Thursday Jul 3,boxscore,HOU,@,LAA,L,2,5,,36-51,5,17,Shoemaker,Oberholtzer,Smith,3:00,N,37625,----,
88,2014,Friday Jul 4,boxscore,HOU,@,LAA,L-wo,6,7,,36-52,5,18,Smith,Sipp,,3:02,N,43557,-----,
89,2014,Saturday Jul 5,boxscore,HOU,@,LAA,L,5,11,,36-53,5,19,Roth,Bass,,3:36,N,40479,------,
90,2014,Sunday Jul 6,boxscore,HOU,@,LAA,L,1,6,,36-54,5,20,Richards,McHugh,,3:07,D,33552,-------,
91,2014,Monday Jul 7,boxscore,HOU,@,TEX,W,12,7,,37-54,5,20,Cosart,Mikolas,,3:48,N,31010,+,
92,2014,Tuesday Jul 8,boxscore,HOU,@,TEX,W,8,3,,38-54,5,20,Peacock,Irwin,,3:33,N,32608,++,
93,2014,Wednesday Jul 9,boxscore,HOU,@,TEX,W,8,4,,39-54,4,19,Keuchel,Darvish,,3:05,N,31161,+++,
94,2014,Friday Jul 11,boxscore,HOU,,BOS,L,3,8,,39-55,4,19.5,Lackey,Feldman,,3:27,N,27264,-,
95,2014,Saturday Jul 12,boxscore,HOU,,BOS,W,3,2,,40-55,4,18.5,Fields,Peavy,Qualls,3:06,D,26322,+,
96,2014,Sunday Jul 13,boxscore,HOU,,BOS,L,0,11,,40-56,4,19.5,Buchholz,Peacock,,3:23,D,20681,-,
97,2014,Friday Jul 18,boxscore,HOU,@,CHW,L,2,3,,40-57,4,20.5,Webb,Feldman,Putnam,2:50,N,28777,--,
98,2014,Saturday Jul 19,boxscore,HOU,@,CHW,L,3,4,,40-58,4,20.5,Noesi,Keuchel,Putnam,3:18,N,28210,---,
99,2014,Sunday Jul 20,boxscore,HOU,@,CHW,W,11,7,,41-58,4,20.5,Sipp,Webb,,3:39,D,26256,+,
100,2014,Tuesday Jul 22,boxscore,HOU,@,OAK,W,3,2,12,42-58,4,19.5,Downs,Abad,Qualls,4:09,N,22908,++,
101,2014,Wednesday Jul 23,boxscore,HOU,@,OAK,L,7,9,,42-59,4,20.5,Chavez,Peacock,Doolittle,3:30,N,28310,-,
102,2014,Thursday Jul 24,boxscore,HOU,@,OAK,L,1,13,,42-60,4,21.5,Samardzija,Feldman,,3:03,D,22759,--,
103,2014,Friday Jul 25,boxscore,HOU,,MIA,L,0,2,,42-61,4,21.5,Hand,Keuchel,Cishek,2:59,N,23132,---,
104,2014,Saturday Jul 26,boxscore,HOU,,MIA,L,3,7,,42-62,4,22.5,Koehler,Cosart,,3:29,N,28968,----,
105,2014,Sunday Jul 27,boxscore,HOU,,MIA,L,2,4,,42-63,4,23.5,Turner,McHugh,Cishek,3:00,D,17858,-----,
106,2014,Monday Jul 28,boxscore,HOU,,OAK,W,7,3,,43-63,4,22.5,Oberholtzer,Chavez,,2:51,N,18259,+,
107,2014,Tuesday Jul 29,boxscore,HOU,,OAK,L,4,7,,43-64,4,23.5,Scribner,Qualls,Doolittle,3:15,N,16940,-,
108,2014,Wednesday Jul 30,boxscore,HOU,,OAK,W,8,1,,44-64,4,22.5,Keuchel,Hammel,,2:35,D,17637,+,
109,2014,Thursday Jul 31,boxscore,HOU,,TOR,L,5,6,,44-65,4,23,Sanchez,Qualls,Janssen,2:46,N,17423,-,
110,2014,Friday Aug 1,boxscore,HOU,,TOR,W,3,1,,45-65,4,22,Veras,Loup,Qualls,2:46,N,19576,+,
111,2014,Saturday Aug 2,boxscore,HOU,,TOR,W,8,2,,46-65,4,22,Oberholtzer,Dickey,,2:38,N,19946,++,
112,2014,Sunday Aug 3,boxscore,HOU,,TOR,W,6,1,,47-65,4,21,Feldman,Stroman,,2:39,D,19932,+++,
113,2014,Tuesday Aug 5,boxscore,HOU,@,PHI,L-wo,1,2,15,47-66,4,22.5,Neris,Buchanan,,5:05,N,28336,-,
114,2014,Wednesday Aug 6,boxscore,HOU,@,PHI,L,3,10,,47-67,4,22.5,Buchanan,Peacock,,2:45,N,26691,--,
115,2014,Thursday Aug 7,boxscore,HOU,@,PHI,L,5,6,,47-68,4,23.5,Hollands,Sipp,Papelbon,2:47,N,26609,---,
116,2014,Friday Aug 8,boxscore,HOU,,TEX,W,4,3,,48-68,4,23.5,Veras,Cotts,Qualls,3:24,N,24256,+,
117,2014,Saturday Aug 9,boxscore,HOU,,TEX,W,8,3,,49-68,4,23.5,Feldman,Darvish,,3:32,N,24019,++,
118,2014,Sunday Aug 10,boxscore,HOU,,TEX,L,2,6,,49-69,4,23.5,Martinez,Keuchel,,3:08,D,19239,-,
119,2014,Monday Aug 11,boxscore,HOU,,MIN,L,2,4,,49-70,4,23.5,Duensing,Fields,Perkins,3:20,N,15569,--,
120,2014,Tuesday Aug 12,boxscore,HOU,,MIN,W,10,4,,50-70,4,23.5,McHugh,Pino,,3:08,N,17490,+,
121,2014,Wednesday Aug 13,boxscore,HOU,,MIN,L,1,3,,50-71,4,23.5,Gibson,Oberholtzer,Perkins,2:45,D,16480,-,
122,2014,Thursday Aug 14,boxscore,HOU,@,BOS,L,4,9,,50-72,4,23.5,Webster,Feldman,,3:19,N,38065,--,
123,2014,Friday Aug 15,boxscore,HOU,@,BOS,W,5,3,10,51-72,4,22.5,Sipp,Breslow,,3:46,N,37016,+,
124,2014,Saturday Aug 16,boxscore,HOU,@,BOS,L,7,10,,51-73,4,22.5,Wilson,Fields,,3:50,N,37652,-,
125,2014,Sunday Aug 17,boxscore,HOU,@,BOS,W,8,1,,52-73,4,21.5,McHugh,Kelly,,3:11,D,36717,+,
126,2014,Tuesday Aug 19,boxscore,HOU,@,NYY,W,7,4,,53-73,4,22,Fields,Robertson,Qualls,3:38,N,40015,++,
127,2014,Wednesday Aug 20,boxscore,HOU,@,NYY,W,5,2,,54-73,4,22,Feldman,Huff,Veras,3:29,N,42102,+++,
128,2014,Thursday Aug 21,boxscore,HOU,@,NYY,L,0,3,,54-74,4,23,McCarthy,Keuchel,,2:07,D,41767,-,
129,2014,Friday Aug 22,boxscore,HOU,@,CLE,W,5,1,,55-74,4,22,Sipp,Allen,,3:01,N,18743,+,
130,2014,Saturday Aug 23,boxscore,HOU,@,CLE,L-wo,2,3,,55-75,4,22,Allen,Buchanan,,3:18,N,20785,-,
131,2014,Sunday Aug 24,boxscore,HOU,@,CLE,L,1,3,,55-76,4,23,Bauer,Oberholtzer,Allen,3:14,D,17123,--,
132,2014,Monday Aug 25,boxscore,HOU,,OAK,L,2,8,,55-77,4,23,Samardzija,Feldman,,3:18,N,14094,---,
133,2014,Tuesday Aug 26,boxscore,HOU,,OAK,W,4,2,,56-77,4,23,Fields,Gregerson,Qualls,2:36,N,17345,+,
134,2014,Wednesday Aug 27,boxscore,HOU,,OAK,L,4,5,,56-78,4,24,Otero,Qualls,O'Flaherty,3:43,N,14791,-,
135,2014,Thursday Aug 28,boxscore,HOU,,TEX,W,4,2,,57-78,4,24,McHugh,Mendez,Sipp,3:04,N,16399,+,
136,2014,Friday Aug 29,boxscore,HOU,,TEX,L,6,13,,57-79,4,25,Baker,Oberholtzer,,3:16,N,18931,-,
137,2014,Saturday Aug 30,boxscore,HOU,,TEX,W,2,0,,58-79,4,25,Feldman,Klein,,2:25,N,24771,+,
138,2014,Sunday Aug 31,boxscore,HOU,,TEX,W,3,2,,59-79,4,25,Veras,Cotts,Qualls,3:18,D,19024,++,
139,2014,Tuesday Sep 2,boxscore,HOU,,LAA,W,8,3,,60-79,4,24,Peacock,Wilson,,3:13,N,16131,+++,
140,2014,Wednesday Sep 3,boxscore,HOU,,LAA,W,4,1,,61-79,4,23,McHugh,Weaver,Qualls,2:37,N,16949,++++,
141,2014,Friday Sep 5,boxscore,HOU,@,OAK,W,4,3,,62-79,4,23.5,Oberholtzer,Samardzija,Sipp,3:08,N,21130,+++++,
142,2014,Saturday Sep 6,boxscore,HOU,@,OAK,L-wo,3,4,,62-80,4,24.5,Gregerson,Qualls,,2:40,D,28668,-,
143,2014,Sunday Sep 7,boxscore,HOU,@,OAK,W,4,3,,63-80,4,24.5,Veras,Cook,Fields,3:15,D,25533,+,
144,2014,Monday Sep 8,boxscore,HOU,@,SEA,L,1,4,,63-81,4,25.5,Farquhar,Foltynewicz,Rodney,3:42,N,15617,-,
145,2014,Tuesday Sep 9,boxscore,HOU,@,SEA,W,2,1,,64-81,4,25.5,McHugh,Medina,Fields,2:57,N,11345,+,
146,2014,Wednesday Sep 10,boxscore,HOU,@,SEA,W,5,2,,65-81,4,25.5,Tropeano,Iwakuma,Sipp,3:01,N,16931,++,
147,2014,Friday Sep 12,boxscore,HOU,@,LAA,L,3,11,,65-82,4,27,Wilson,Oberholtzer,,3:37,N,33339,-,
148,2014,Saturday Sep 13,boxscore,HOU,@,LAA,L,2,5,,65-83,4,28,Weaver,Feldman,Street,3:19,N,38041,--,
149,2014,Sunday Sep 14,boxscore,HOU,@,LAA,W,6,1,,66-83,4,27,Keuchel,Santiago,,3:20,D,35364,+,
150,2014,Monday Sep 15,boxscore,HOU,,CLE,W,3,1,,67-83,4,27,McHugh,McAllister,Qualls,2:45,N,17403,++,
151,2014,Tuesday Sep 16,boxscore,HOU,,CLE,L,2,4,,67-84,4,27,Kluber,Tropeano,Allen,3:18,N,18381,-,
152,2014,Wednesday Sep 17,boxscore,HOU,,CLE,L,0,2,,67-85,4,28,Carrasco,Oberholtzer,,2:20,N,18474,--,
153,2014,Thursday Sep 18,boxscore,HOU,,CLE,L,1,2,13,67-86,4,28,Crockett,Deduno,Allen,4:32,N,16417,---,
154,2014,Friday Sep 19,boxscore,HOU,,SEA,L,5,10,,67-87,4,28,Walker,Peacock,,3:34,N,27568,----,
155,2014,Saturday Sep 20,boxscore,HOU,,SEA,W,10,1,,68-87,4,28,Keuchel,Young,,2:34,N,36525,+,
156,2014,Sunday Sep 21,boxscore,HOU,,SEA,W,8,3,,69-87,4,27,McHugh,Iwakuma,,3:29,D,31466,++,
157,2014,Monday Sep 22,boxscore,HOU,@,TEX,L,3,4,,69-88,4,27,Holland,Tropeano,Feliz,2:48,N,28717,-,
158,2014,Tuesday Sep 23,boxscore,HOU,@,TEX,L,1,2,,69-89,4,28,Martinez,Oberholtzer,Cotts,2:55,N,29794,--,
159,2014,Wednesday Sep 24,boxscore,HOU,@,TEX,L,1,5,,69-90,4,29,Bonilla,Feldman,,3:06,N,28003,---,
160,2014,Friday Sep 26,boxscore,HOU,@,NYM,W,3,1,,70-90,4,28,Chapman,Torres,Qualls,3:10,N,27729,+,
161,2014,Saturday Sep 27,boxscore,HOU,@,NYM,L-wo,1,2,,70-91,4,28,Mejia,Sipp,,2:59,N,34886,-,
162,2014,Sunday Sep 28,boxscore,HOU,@,NYM,L,3,8,,70-92,4,28,Colon,Tropeano,,2:42,D,34897,--,
