date,team,team_score,home_away,opposing,opp_score,win_lost,attendance
2008-06-21,HOU,3,AWAY,TBR,4,L,"29,953"
2008-06-22,HOU,3,AWAY,TBR,2,W,"19,778"
2008-06-24,HOU,4,HOME,TEX,3,W,"40,052"
2008-06-25,HOU,2,HOME,TEX,3,L,"32,567"
2008-06-26,HOU,7,HOME,TEX,2,W,"36,506"
2008-06-27,HOU,1,HOME,BOS,6,L,"42,327"
2008-06-28,HOU,11,HOME,BOS,10,W,"43,073"
2008-06-29,HOU,3,HOME,BOS,2,W,"42,066"
2008-06-30,HOU,4,HOME,LAD,1,W,"28,827"
2008-07-01,HOU,6,HOME,LAD,7,L,"31,914"
2008-07-02,HOU,1,HOME,LAD,4,L,"34,058"
2008-07-03,HOU,2,HOME,LAD,5,L,"35,696"
2008-07-04,HOU,2,AWAY,ATL,6,L,"48,045"
2008-07-05,HOU,6,AWAY,ATL,1,W,"37,049"
2008-07-06,HOU,6,AWAY,ATL,7,L,"24,169"
2008-07-07,HOU,7,AWAY,PIT,10,L,"13,323"
2008-07-08,HOU,3,AWAY,PIT,4,L,"17,867"
2008-07-09,HOU,6,AWAY,PIT,4,W,"13,884"
2008-07-11,HOU,0,AWAY,WSN,10,L,"33,653"
2008-07-12,HOU,6,AWAY,WSN,4,W,"30,682"
2008-07-13,HOU,5,AWAY,WSN,0,W,"31,463"
2008-07-18,HOU,2,HOME,CHC,1,W,"42,368"
2008-07-19,HOU,4,HOME,CHC,1,W,"43,129"
2008-07-20,HOU,0,HOME,CHC,9,L,"41,461"
2008-07-21,HOU,3,HOME,PIT,9,L,"34,624"
2008-07-22,HOU,2,HOME,PIT,8,L,"33,996"
2008-07-23,HOU,7,HOME,PIT,8,L,"36,091"
2008-07-25,HOU,3,AWAY,MIL,1,W,"41,357"
2008-07-26,HOU,4,AWAY,MIL,6,L,"43,489"
2008-07-27,HOU,11,AWAY,MIL,6,W,"41,565"
2008-07-28,HOU,5,HOME,CIN,4,W,"31,783"
2008-07-29,HOU,6,HOME,CIN,2,W,"34,015"
2008-07-30,HOU,5,HOME,CIN,9,L,"30,272"
2008-08-01,HOU,7,HOME,NYM,3,W,"41,083"
2008-08-02,HOU,5,HOME,NYM,4,W,"39,152"
2008-08-03,HOU,4,HOME,NYM,0,W,"38,602"
2008-08-04,HOU,2,AWAY,CHC,0,W,"40,867"
2008-08-05,HOU,7,AWAY,CHC,11,L,"40,416"
2008-08-06,HOU,4,AWAY,CHC,11,L,"41,107"
2008-08-07,HOU,7,AWAY,CIN,4,W,"27,378"
2008-08-08,HOU,9,AWAY,CIN,5,W,"25,652"
2008-08-09,HOU,3,AWAY,CIN,1,W,"26,044"
2008-08-10,HOU,13,AWAY,CIN,4,W,"30,789"
2008-08-11,HOU,3,HOME,SFG,1,W,"28,220"
2008-08-12,HOU,12,HOME,SFG,4,W,"29,451"
2008-08-13,HOU,6,HOME,SFG,2,W,"30,330"
2008-08-14,HOU,7,HOME,SFG,4,W,"33,612"
2008-08-15,HOU,2,HOME,ARI,12,L,"36,035"
2008-08-16,HOU,5,HOME,ARI,11,L,"39,501"
2008-08-17,HOU,3,HOME,ARI,0,W,"42,619"
2008-08-18,HOU,3,AWAY,MIL,9,L,"41,991"
2008-08-19,HOU,5,AWAY,MIL,2,W,"41,622"
2008-08-20,HOU,2,AWAY,MIL,5,L,"41,419"
2008-08-22,HOU,0,AWAY,NYM,3,L,"52,008"
2008-08-23,HOU,8,AWAY,NYM,3,W,"51,766"
2008-08-24,HOU,6,AWAY,NYM,4,W,"49,758"
2008-08-25,HOU,1,AWAY,NYM,9,L,"49,791"
2008-08-26,HOU,1,HOME,CIN,2,L,"30,395"
2008-08-27,HOU,4,HOME,CIN,1,W,"30,741"
2008-08-28,HOU,3,HOME,CIN,2,W,"30,028"
2008-08-29,HOU,3,HOME,STL,2,W,"33,347"
2008-08-30,HOU,8,HOME,STL,5,W,"37,569"
2008-08-31,HOU,3,HOME,STL,0,W,"35,638"
2008-09-01,HOU,3,AWAY,CHC,0,W,"40,670"
2008-09-02,HOU,9,AWAY,CHC,7,W,"39,846"
2008-09-03,HOU,4,AWAY,CHC,0,W,"40,163"
2008-09-05,HOU,3,AWAY,COL,5,L,"26,163"
2008-09-06,HOU,2,AWAY,COL,0,W,"32,352"
2008-09-07,HOU,7,AWAY,COL,5,W,"30,509"
2008-09-08,HOU,3,HOME,PIT,2,W,"26,526"
2008-09-09,HOU,9,HOME,PIT,3,W,"30,034"
2008-09-10,HOU,7,HOME,PIT,4,W,"26,859"
2008-09-11,HOU,6,HOME,PIT,0,W,"31,101"
2008-09-14,HOU,0,HOME,CHC,5,L,"23,441"
2008-09-15,HOU,1,HOME,CHC,6,L,"15,158"
2008-09-16,HOU,1,AWAY,FLA,5,L,"12,232"
2008-09-17,HOU,2,AWAY,FLA,14,L,"14,124"
2008-09-18,HOU,1,AWAY,FLA,8,L,"14,219"
2008-09-19,HOU,5,AWAY,PIT,1,W,"26,301"
2008-09-20,HOU,4,AWAY,PIT,6,L,"36,621"
2008-09-21,HOU,6,AWAY,PIT,2,W,"20,311"
2008-09-23,HOU,1,HOME,CIN,2,L,"27,561"
2008-09-24,HOU,5,HOME,CIN,0,W,"26,103"
2008-09-25,HOU,8,HOME,CIN,6,W,"31,204"
2008-09-26,HOU,5,HOME,ATL,4,W,"33,477"
2008-09-27,HOU,5,HOME,ATL,11,L,"37,491"
2008-09-28,HOU,3,HOME,ATL,1,W,"37,113"
2009-04-06,HOU,2,HOME,CHC,4,L,43827
2009-04-07,HOU,3,HOME,CHC,2,W,31121
2009-04-08,HOU,6,HOME,CHC,11,L,30047
2009-04-10,HOU,3,AWAY,STL,5,L,37224
2009-04-11,HOU,2,AWAY,STL,11,L,43454
2009-04-12,HOU,0,AWAY,STL,3,L,36310
2009-04-13,HOU,0,AWAY,PIT,7,L,38411
2009-04-15,HOU,4,AWAY,PIT,1,W,20690
2009-04-16,HOU,6,AWAY,PIT,3,W,13877
2009-04-17,HOU,1,HOME,CIN,2,L,32268
2009-04-18,HOU,7,HOME,CIN,0,W,30141
2009-04-19,HOU,2,HOME,CIN,4,L,29372
2009-04-20,HOU,3,HOME,CIN,4,L,23308
2009-04-21,HOU,8,HOME,LAD,5,W,26360
2009-04-22,HOU,6,HOME,LAD,5,W,26725
2009-04-23,HOU,0,HOME,LAD,2,L,26081
2009-04-24,HOU,2,HOME,MIL,5,L,25316
2009-04-25,HOU,8,HOME,MIL,9,L,31355
2009-04-26,HOU,3,HOME,MIL,2,W,27690
2009-04-27,HOU,4,AWAY,CIN,1,W,12365
2009-04-28,HOU,8,AWAY,CIN,3,W,9878
2009-04-29,HOU,0,AWAY,CIN,3,L,12681
2009-05-01,HOU,2,AWAY,ATL,7,L,29309
2009-05-02,HOU,5,AWAY,ATL,1,W,28203
2009-05-03,HOU,7,AWAY,ATL,5,W,27921
2009-05-04,HOU,4,AWAY,WSN,9,L,14115
2009-05-05,HOU,10,AWAY,WSN,11,L,19328
2009-05-06,HOU,3,HOME,CHC,6,L,29415
2009-05-07,HOU,5,HOME,CHC,8,L,28625
2009-05-08,HOU,2,HOME,SDP,0,W,28139
2009-05-09,HOU,5,HOME,SDP,4,W,29141
2009-05-10,HOU,12,HOME,SDP,5,W,30023
2009-05-12,HOU,1,AWAY,COL,12,L,23233
2009-05-13,HOU,15,AWAY,COL,11,W,19226
2009-05-14,HOU,5,AWAY,COL,3,W,22696
2009-05-16,HOU,4,AWAY,CHC,5,L,40549
2009-05-17,HOU,6,AWAY,CHC,5,W,40478
2009-05-19,HOU,2,HOME,MIL,4,L,29343
2009-05-20,HOU,6,HOME,MIL,4,W,27160
2009-05-21,HOU,3,HOME,MIL,4,L,25037
2009-05-22,HOU,5,HOME,TEX,6,L,36017
2009-05-23,HOU,3,HOME,TEX,6,L,36019
2009-05-24,HOU,0,HOME,TEX,5,L,36749
2009-05-25,HOU,5,AWAY,CIN,8,L,17818
2009-05-26,HOU,4,AWAY,CIN,6,L,15619
2009-05-27,HOU,1,AWAY,CIN,6,L,17602
2009-05-29,HOU,6,AWAY,PIT,1,W,18236
2009-05-30,HOU,4,AWAY,PIT,7,L,37167
2009-05-31,HOU,2,AWAY,PIT,1,W,19566
2009-06-01,HOU,4,HOME,COL,1,W,24016
2009-06-02,HOU,3,HOME,COL,2,W,24041
2009-06-03,HOU,6,HOME,COL,4,W,22032
2009-06-04,HOU,3,HOME,COL,10,L,26671
2009-06-05,HOU,9,HOME,PIT,1,W,26222
2009-06-06,HOU,4,HOME,PIT,6,L,26099
2009-06-07,HOU,6,HOME,PIT,4,W,25729
2009-06-09,HOU,1,HOME,CHC,7,L,29669
2009-06-10,HOU,2,HOME,CHC,1,W,29840
2009-06-11,HOU,2,HOME,CHC,1,W,34250
2009-06-12,HOU,1,AWAY,ARI,8,L,22225
2009-06-13,HOU,6,AWAY,ARI,4,W,29206
2009-06-14,HOU,8,AWAY,ARI,3,W,26937
2009-06-16,HOU,1,AWAY,TEX,6,L,21676
2009-06-17,HOU,4,AWAY,TEX,5,L,32425
2009-06-18,HOU,5,AWAY,TEX,3,W,25445
2009-06-19,HOU,2,AWAY,MIN,5,L,32218
2009-06-20,HOU,6,AWAY,MIN,5,W,34710
2009-06-21,HOU,4,AWAY,MIN,1,W,39659
2009-06-23,HOU,1,HOME,KCR,2,L,30049
2009-06-24,HOU,3,HOME,KCR,4,L,28602
2009-06-25,HOU,5,HOME,KCR,4,W,32048
2009-06-26,HOU,5,HOME,DET,4,W,33052
2009-06-27,HOU,8,HOME,DET,1,W,37123
2009-06-28,HOU,3,HOME,DET,4,L,34041
2009-06-29,HOU,3,AWAY,SDP,1,W,15671
2009-06-30,HOU,3,AWAY,SDP,4,L,15276
2009-07-01,HOU,7,AWAY,SDP,1,W,16670
2009-07-02,HOU,7,AWAY,SDP,2,W,23284
2009-07-03,HOU,0,AWAY,SFG,13,L,42199
2009-07-04,HOU,0,AWAY,SFG,9,L,34582
2009-07-05,HOU,7,AWAY,SFG,1,W,30157
2009-07-06,HOU,4,HOME,PIT,1,W,26834
2009-07-07,HOU,3,HOME,PIT,6,L,27142
2009-07-08,HOU,5,HOME,PIT,0,W,29243
2009-07-09,HOU,9,HOME,WSN,4,W,25490
2009-07-10,HOU,6,HOME,WSN,5,W,33085
2009-07-11,HOU,2,HOME,WSN,13,L,30052
2009-07-12,HOU,5,HOME,WSN,0,W,28680
2009-07-16,HOU,3,AWAY,LAD,0,W,45970
2009-07-17,HOU,8,AWAY,LAD,1,W,51209
2009-07-18,HOU,2,AWAY,LAD,5,L,48298
2009-07-19,HOU,3,AWAY,LAD,4,L,40340
2009-07-20,HOU,3,HOME,STL,2,W,36437
2009-07-21,HOU,11,HOME,STL,6,W,33140
2009-07-22,HOU,4,HOME,STL,3,W,37619
2009-07-24,HOU,5,HOME,NYM,4,W,42967
2009-07-25,HOU,3,HOME,NYM,10,L,43302
2009-07-26,HOU,3,HOME,NYM,8,L,34642
2009-07-27,HOU,1,AWAY,CHC,5,L,40794
2009-07-28,HOU,11,AWAY,CHC,6,W,40814
2009-07-29,HOU,0,AWAY,CHC,12,L,41538
2009-07-30,HOU,3,AWAY,CHC,12,L,41524
2009-07-31,HOU,3,AWAY,STL,4,L,43760
2009-08-01,HOU,1,AWAY,STL,3,L,45074
2009-08-02,HOU,2,AWAY,STL,0,W,45227
2009-08-03,HOU,4,HOME,SFG,3,W,29835
2009-08-04,HOU,1,HOME,SFG,8,L,29747
2009-08-05,HOU,6,HOME,SFG,10,L,31710
2009-08-07,HOU,6,HOME,MIL,3,W,34691
2009-08-08,HOU,5,HOME,MIL,12,L,35216
2009-08-09,HOU,2,HOME,MIL,0,W,32262
2009-08-10,HOU,6,AWAY,FLA,8,L,12325
2009-08-11,HOU,8,AWAY,FLA,9,L,13312
2009-08-12,HOU,14,AWAY,FLA,6,W,21122
2009-08-13,HOU,2,AWAY,FLA,9,L,14047
2009-08-14,HOU,2,AWAY,MIL,11,L,37715
2009-08-15,HOU,2,AWAY,MIL,6,L,42952
2009-08-16,HOU,8,AWAY,MIL,5,W,41863
2009-08-18,HOU,2,HOME,FLA,6,L,30189
2009-08-19,HOU,6,HOME,FLA,3,W,30101
2009-08-20,HOU,4,HOME,FLA,1,W,30039
2009-08-21,HOU,1,HOME,ARI,0,W,30032
2009-08-22,HOU,4,HOME,ARI,2,W,39412
2009-08-23,HOU,5,HOME,ARI,7,L,30612
2009-08-25,HOU,0,AWAY,STL,1,L,40512
2009-08-26,HOU,2,AWAY,STL,3,L,40311
2009-08-27,HOU,4,AWAY,STL,3,W,40348
2009-08-28,HOU,7,AWAY,ARI,14,L,26190
2009-08-29,HOU,0,AWAY,ARI,9,L,37190
2009-08-30,HOU,3,AWAY,ARI,4,L,29062
2009-08-31,HOU,5,AWAY,CHC,3,W,36990
2009-09-01,HOU,1,AWAY,CHC,4,L,36332
2009-09-02,HOU,0,AWAY,CHC,2,L,39192
2009-09-04,HOU,7,HOME,PHI,0,W,30043
2009-09-05,HOU,5,HOME,PHI,4,W,35195
2009-09-06,HOU,4,HOME,PHI,3,W,34754
2009-09-07,HOU,4,HOME,PHI,3,W,29040
2009-09-08,HOU,1,HOME,ATL,2,L,26081
2009-09-09,HOU,2,HOME,ATL,1,W,22392
2009-09-10,HOU,7,HOME,ATL,9,L,26552
2009-09-11,HOU,9,HOME,PIT,1,W,31302
2009-09-12,HOU,4,HOME,PIT,2,W,35213
2009-09-13,HOU,1,HOME,PIT,2,L,34405
2009-09-14,HOU,1,AWAY,CIN,3,L,9852
2009-09-15,HOU,4,AWAY,CIN,5,L,11923
2009-09-16,HOU,5,AWAY,CIN,6,L,10662
2009-09-18,HOU,2,AWAY,MIL,3,L,39057
2009-09-19,HOU,2,AWAY,MIL,7,L,36399
2009-09-20,HOU,0,AWAY,MIL,6,L,30024
2009-09-21,HOU,3,HOME,STL,7,L,34705
2009-09-22,HOU,2,HOME,STL,11,L,32644
2009-09-23,HOU,3,HOME,STL,0,W,38732
2009-09-25,HOU,4,HOME,CIN,10,L,37710
2009-09-26,HOU,4,HOME,CIN,10,L,39476
2009-09-27,HOU,3,HOME,CIN,2,W,37595
2009-09-28,HOU,8,AWAY,PHI,2,W,45146
2009-09-29,HOU,4,AWAY,PHI,7,L,45082
2009-09-30,HOU,3,AWAY,PHI,10,L,45207
2009-10-01,HOU,5,AWAY,PHI,3,W,44905
2009-10-02,HOU,1,AWAY,NYM,7,L,37576
2009-10-03,HOU,1,AWAY,NYM,5,L,37578
2009-10-04,HOU,0,AWAY,NYM,4,L,38135
2010-04-05,HOU,2,HOME,SFG,5,L,43836
2010-04-06,HOU,0,HOME,SFG,3,L,24237
2010-04-07,HOU,4,HOME,SFG,10,L,21599
2010-04-09,HOU,0,HOME,PHI,8,L,27288
2010-04-10,HOU,6,HOME,PHI,9,L,35138
2010-04-11,HOU,1,HOME,PHI,2,L,28619
2010-04-12,HOU,0,AWAY,STL,5,L,46918
2010-04-14,HOU,1,AWAY,STL,2,L,35883
2010-04-15,HOU,5,AWAY,STL,1,W,35371
2010-04-16,HOU,2,AWAY,CHC,7,L,37291
2010-04-17,HOU,4,AWAY,CHC,3,W,40471
2010-04-18,HOU,3,AWAY,CHC,2,W,39506
2010-04-20,HOU,7,HOME,FLA,5,W,24135
2010-04-21,HOU,5,HOME,FLA,4,W,22607
2010-04-22,HOU,1,HOME,FLA,5,L,21802
2010-04-23,HOU,4,HOME,PIT,3,W,30018
2010-04-24,HOU,5,HOME,PIT,2,W,30562
2010-04-25,HOU,10,HOME,PIT,3,W,27210
2010-04-27,HOU,2,HOME,CIN,6,L,22467
2010-04-28,HOU,4,HOME,CIN,6,L,21035
2010-04-29,HOU,2,HOME,CIN,4,L,21493
2010-04-30,HOU,2,AWAY,ATL,4,L,30082
2010-05-01,HOU,1,AWAY,ATL,10,L,27035
2010-05-02,HOU,1,AWAY,ATL,7,L,25665
2010-05-03,HOU,1,HOME,ARI,9,L,20370
2010-05-04,HOU,0,HOME,ARI,1,L,22661
2010-05-05,HOU,4,HOME,ARI,2,W,21030
2010-05-06,HOU,3,HOME,ARI,6,L,21019
2010-05-07,HOU,0,HOME,SDP,7,L,25586
2010-05-08,HOU,1,HOME,SDP,2,L,27038
2010-05-09,HOU,4,HOME,SDP,3,W,23526
2010-05-11,HOU,6,AWAY,STL,3,W,35875
2010-05-12,HOU,9,AWAY,STL,6,W,36342
2010-05-13,HOU,4,AWAY,STL,1,W,39026
2010-05-14,HOU,2,AWAY,SFG,8,L,38650
2010-05-15,HOU,1,AWAY,SFG,2,L,40060
2010-05-16,HOU,3,AWAY,SFG,4,L,40582
2010-05-17,HOU,2,AWAY,LAD,6,L,35282
2010-05-18,HOU,3,AWAY,LAD,7,L,55662
2010-05-19,HOU,7,HOME,COL,3,W,25200
2010-05-20,HOU,0,HOME,COL,4,L,25932
2010-05-21,HOU,2,HOME,TBR,1,W,27601
2010-05-22,HOU,2,HOME,TBR,4,L,33778
2010-05-23,HOU,6,HOME,TBR,10,L,28801
2010-05-25,HOU,1,AWAY,MIL,6,L,27363
2010-05-26,HOU,5,AWAY,MIL,0,W,30151
2010-05-27,HOU,3,AWAY,MIL,4,L,34355
2010-05-28,HOU,6,AWAY,CIN,15,L,30813
2010-05-29,HOU,2,AWAY,CIN,12,L,36918
2010-05-30,HOU,2,AWAY,CIN,0,W,36038
2010-05-31,HOU,4,HOME,WSN,14,L,34704
2010-06-01,HOU,8,HOME,WSN,7,W,25249
2010-06-02,HOU,5,HOME,WSN,1,W,26736
2010-06-03,HOU,6,HOME,WSN,4,W,21814
2010-06-04,HOU,3,HOME,CHC,1,W,28784
2010-06-05,HOU,5,HOME,CHC,8,L,34241
2010-06-06,HOU,6,HOME,CHC,3,W,29493
2010-06-07,HOU,1,AWAY,COL,5,L,28251
2010-06-08,HOU,4,AWAY,COL,3,W,26201
2010-06-09,HOU,6,AWAY,COL,2,W,27114
2010-06-10,HOU,5,AWAY,COL,4,W,28329
2010-06-11,HOU,3,AWAY,NYY,4,L,46883
2010-06-12,HOU,3,AWAY,NYY,9,L,46159
2010-06-13,HOU,5,AWAY,NYY,9,L,46832
2010-06-15,HOU,7,AWAY,KCR,15,L,24862
2010-06-16,HOU,4,AWAY,KCR,2,W,17675
2010-06-17,HOU,2,AWAY,KCR,5,L,16255
2010-06-18,HOU,3,HOME,TEX,9,L,33951
2010-06-19,HOU,1,HOME,TEX,5,L,41060
2010-06-20,HOU,4,HOME,TEX,5,L,33753
2010-06-22,HOU,1,HOME,SFG,3,L,29777
2010-06-23,HOU,6,HOME,SFG,3,W,29311
2010-06-24,HOU,7,HOME,SFG,5,W,26662
2010-06-25,HOU,7,AWAY,TEX,4,W,43457
2010-06-26,HOU,2,AWAY,TEX,7,L,28951
2010-06-27,HOU,1,AWAY,TEX,10,L,37487
2010-06-28,HOU,9,AWAY,MIL,5,W,27908
2010-06-29,HOU,5,AWAY,MIL,7,L,32907
2010-06-30,HOU,5,AWAY,MIL,1,W,30114
2010-07-01,HOU,6,AWAY,SDP,3,W,18618
2010-07-02,HOU,0,AWAY,SDP,3,L,30691
2010-07-03,HOU,0,AWAY,SDP,1,L,40042
2010-07-04,HOU,2,AWAY,SDP,3,L,23498
2010-07-06,HOU,6,HOME,PIT,2,W,23210
2010-07-07,HOU,6,HOME,PIT,3,W,23123
2010-07-08,HOU,2,HOME,PIT,0,W,24416
2010-07-09,HOU,0,HOME,STL,8,L,33224
2010-07-10,HOU,4,HOME,STL,1,W,37518
2010-07-11,HOU,2,HOME,STL,4,L,32975
2010-07-16,HOU,5,AWAY,PIT,2,W,23273
2010-07-17,HOU,6,AWAY,PIT,12,L,36665
2010-07-18,HOU,0,AWAY,PIT,9,L,16638
2010-07-19,HOU,11,AWAY,CHC,5,W,35514
2010-07-20,HOU,7,AWAY,CHC,14,L,36401
2010-07-21,HOU,4,AWAY,CHC,3,W,38533
2010-07-23,HOU,4,HOME,CIN,6,L,30575
2010-07-24,HOU,0,HOME,CIN,7,L,31552
2010-07-25,HOU,4,HOME,CIN,0,W,25705
2010-07-26,HOU,2,HOME,CHC,5,L,25037
2010-07-27,HOU,6,HOME,CHC,1,W,28047
2010-07-28,HOU,8,HOME,CHC,1,W,28046
2010-07-30,HOU,5,HOME,MIL,0,W,27456
2010-07-31,HOU,6,HOME,MIL,0,W,38824
2010-08-01,HOU,5,HOME,MIL,2,W,27964
2010-08-02,HOU,9,AWAY,STL,4,W,43369
2010-08-03,HOU,18,AWAY,STL,4,W,41958
2010-08-04,HOU,4,AWAY,STL,8,L,41596
2010-08-06,HOU,5,AWAY,MIL,6,L,33952
2010-08-07,HOU,2,AWAY,MIL,5,L,39410
2010-08-08,HOU,6,AWAY,MIL,11,L,39339
2010-08-09,HOU,10,HOME,ATL,4,W,34684
2010-08-10,HOU,2,HOME,ATL,4,L,34155
2010-08-11,HOU,2,HOME,ATL,8,L,31352
2010-08-13,HOU,4,HOME,PIT,1,W,36124
2010-08-14,HOU,3,HOME,PIT,2,W,31608
2010-08-15,HOU,8,HOME,PIT,2,W,34372
2010-08-16,HOU,1,HOME,NYM,3,L,22688
2010-08-17,HOU,4,HOME,NYM,3,W,26279
2010-08-18,HOU,2,HOME,NYM,3,L,23403
2010-08-19,HOU,3,HOME,NYM,2,W,26271
2010-08-20,HOU,0,AWAY,FLA,9,L,19456
2010-08-21,HOU,3,AWAY,FLA,6,L,21721
2010-08-22,HOU,2,AWAY,FLA,1,W,18886
2010-08-23,HOU,3,AWAY,PHI,2,W,44081
2010-08-24,HOU,4,AWAY,PHI,2,W,45494
2010-08-25,HOU,3,AWAY,PHI,2,W,44657
2010-08-26,HOU,5,AWAY,PHI,1,W,44958
2010-08-27,HOU,1,AWAY,NYM,2,L,30178
2010-08-28,HOU,4,AWAY,NYM,1,W,33024
2010-08-29,HOU,1,AWAY,NYM,5,L,32779
2010-08-30,HOU,3,HOME,STL,0,W,23140
2010-08-31,HOU,3,HOME,STL,0,W,29307
2010-09-01,HOU,5,HOME,STL,2,W,22068
2010-09-03,HOU,3,AWAY,ARI,4,L,24748
2010-09-04,HOU,6,AWAY,ARI,5,W,31605
2010-09-05,HOU,3,AWAY,ARI,2,W,25416
2010-09-06,HOU,4,AWAY,CHC,5,L,31647
2010-09-07,HOU,7,AWAY,CHC,3,W,31596
2010-09-08,HOU,4,AWAY,CHC,0,W,33623
2010-09-09,HOU,3,HOME,LAD,2,W,28081
2010-09-10,HOU,2,HOME,LAD,4,L,31010
2010-09-11,HOU,3,HOME,LAD,6,L,39237
2010-09-12,HOU,7,HOME,LAD,4,W,30240
2010-09-13,HOU,4,HOME,MIL,2,W,31342
2010-09-14,HOU,3,HOME,MIL,2,W,33878
2010-09-15,HOU,6,HOME,MIL,8,L,30791
2010-09-17,HOU,5,HOME,CIN,3,W,30218
2010-09-18,HOU,1,HOME,CIN,11,L,29855
2010-09-19,HOU,4,HOME,CIN,3,W,32520
2010-09-20,HOU,8,AWAY,WSN,2,W,10999
2010-09-21,HOU,4,AWAY,WSN,8,L,11893
