,full_date,home_team,home_score,away_team,away_score,season,beat
195,2015-09-23,Houston Dynamo,1,Sporting KC,0,reg,10H30
196,2015-09-26,Houston Dynamo,3,Colorado,2,reg,10H30
200,2016-03-06,Houston Dynamo,3,New England,3,reg,10H30
201,2016-03-12,Houston Dynamo,5,FC Dallas,0,reg,10H30
205,2016-04-15,Houston Dynamo,1,LA Galaxy,4,reg,10H30
208,2016-05-07,Houston Dynamo,2,Sporting KC,0,reg,10H30
210,2016-05-15,Houston Dynamo,1,Real Salt Lake,0,reg,10H30
214,2016-06-18,Houston Dynamo,0,D.C. United,0,reg,10H30
216,2016-07-02,Houston Dynamo,1,Philadelphia,0,reg,10H30
219,2016-07-23,Houston Dynamo,0,Vancouver,0,reg,10H30
220,2016-07-31,Houston Dynamo,1,San Jose,1,reg,10H30
222,2016-08-14,Houston Dynamo,1,Toronto FC,1,reg,10H30
225,2016-08-27,Houston Dynamo,1,FC Dallas,3,reg,10H30
228,2016-09-24,Houston Dynamo,3,Portland,1,reg,10H30
229,2016-09-30,Houston Dynamo,0,NYCFC,2,reg,10H30
230,2016-10-08,Houston Dynamo,2,Colorado,3,reg,10H30
232,2016-10-16,Houston Dynamo,0,LA Galaxy,1,reg,10H30
234,2017-03-04,Houston Dynamo,2,Seattle,1,reg,10H30
235,2017-03-11,Houston Dynamo,3,Columbus,1,reg,10H30
237,2017-04-01,Houston Dynamo,4,NY Red Bulls,1,reg,10H30
239,2017-04-15,Houston Dynamo,2,Minnesota,2,reg,10H30
240,2017-04-22,Houston Dynamo,2,San Jose,0,reg,10H30
242,2017-05-06,Houston Dynamo,4,Orlando,0,reg,10H30
243,2017-05-12,Houston Dynamo,2,Vancouver,1,reg,10H30
247,2017-05-31,Houston Dynamo,5,Real Salt Lake,1,reg,10H30
250,2017-06-23,Houston Dynamo,1,FC Dallas,1,reg,10H30
252,2017-07-05,Houston Dynamo,3,Montreal,1,reg,10H30
255,2017-07-29,Houston Dynamo,2,Portland,2,reg,10H30
257,2017-08-12,Houston Dynamo,3,San Jose,0,reg,10H30
260,2017-09-09,Houston Dynamo,0,Colorado,1,reg,10H30
263,2017-09-27,Houston Dynamo,3,LA Galaxy,3,reg,10H30
264,2017-09-30,Houston Dynamo,2,Minnesota,1,reg,10H30
265,2017-10-11,Houston Dynamo,2,Sporting KC,1,reg,10H30
267,2017-10-22,Houston Dynamo,3,Chicago,0,reg,10H30
1,2011-11-03,Houston Dynamo,1,Philadelphia Union,0,plo,10H30
5,2012-11-04,Houston Dynamo,2,Sporting Kansas City,0,plo,10H30
7,2012-11-11,Houston Dynamo,3, Washington D.C. United,1,plo,10H30
10,2013-10-31,Houston Dynamo,3,Montreal Impact,0,plo,10H30
11,2013-11-03,Houston Dynamo,2,New York Red Bulls,2,plo,10H30
13,2013-11-09,Houston Dynamo,0,Sporting Kansas City,0,plo,10H30
15,2017-10-26,Houston Dynamo,1,Kansas City,0,plo,10H30
16,2017-10-30,Houston Dynamo,0,Portland Tumbers,0,plo,10H30
18,2017-11-21,Houston Dynamo,0,Seattle,2,plo,10H30
