Date,Team,Team_score,Location,Opponent,Opponent_score,season
2012-02-17,Houston Rockets,98,home,Minnesota Timberwolves,111,reg
2012-02-19,Houston Rockets,101,home,Utah Jazz,85,reg
2012-02-20,Houston Rockets,97,home,Memphis Grizzlies,93,reg
2012-02-22,Houston Rockets,93,home,Philadelphia 76ers,87,reg
2012-02-28,Houston Rockets,88,home,Toronto Raptors,85,reg
2012-03-02,Houston Rockets,105,home,Denver Nuggets,117,reg
2012-03-04,Houston Rockets,103,home,Los Angeles Clippers,105,reg
2012-03-14,Houston Rockets,107,home,Charlotte Bobcats,87,reg
2012-03-20,Houston Rockets,107,home,Los Angeles Lakers,104,reg
2012-03-22,Houston Rockets,109,home,Golden State Warriors,83,reg
2012-03-24,Houston Rockets,99,home,Dallas Mavericks,101,reg
2012-03-26,Houston Rockets,113,home,Sacramento Kings,106,reg
2012-03-30,Houston Rockets,98,home,Memphis Grizzlies,89,reg
2012-04-01,Houston Rockets,102,home,Indiana Pacers,104,reg
2012-04-11,Houston Rockets,91,home,Utah Jazz,103,reg
2012-04-13,Houston Rockets,105,home,Phoenix Suns,112,reg
2012-04-16,Houston Rockets,102,home,Denver Nuggets,105,reg
2012-04-21,Houston Rockets,99,home,Golden State Warriors,96,reg
2012-04-26,Houston Rockets,84,home,New Orleans Hornets,77,reg
2012-11-03,Houston Rockets,85,home,Portland Trail Blazers,95,reg
2012-11-07,Houston Rockets,87,home,Denver Nuggets,93,reg
2012-11-10,Houston Rockets,96,home,Detroit Pistons,82,reg
2012-11-12,Houston Rockets,110,home,Miami Heat,113,reg
2012-11-14,Houston Rockets,100,home,New Orleans Hornets,96,reg
2012-11-21,Houston Rockets,93,home,Chicago Bulls,89,reg
2012-11-23,Houston Rockets,131,home,New York Knicks,103,reg
2012-11-27,Houston Rockets,117,home,Toronto Raptors,101,reg
2012-12-01,Houston Rockets,124,home,Utah Jazz,116,reg
2012-12-04,Houston Rockets,107,home,Los Angeles Lakers,105,reg
2012-12-08,Houston Rockets,109,home,Dallas Mavericks,116,reg
2012-12-10,Houston Rockets,126,home,San Antonio Spurs,134,reg
2012-12-12,Houston Rockets,99,home,Washington Wizards,93,reg
2012-12-14,Houston Rockets,101,home,Boston Celtics,89,reg
2012-12-19,Houston Rockets,125,home,Philadelphia 76ers,103,reg
2012-12-22,Houston Rockets,121,home,Memphis Grizzlies,96,reg
2012-12-29,Houston Rockets,94,home,Oklahoma City Thunder,124,reg
2012-12-31,Houston Rockets,123,home,Atlanta Hawks,104,reg
2013-01-02,Houston Rockets,104,home,New Orleans Hornets,92,reg
2013-01-08,Houston Rockets,125,home,Los Angeles Lakers,112,reg
2013-01-15,Houston Rockets,109,home,Los Angeles Clippers,117,reg
2013-01-23,Houston Rockets,95,home,Denver Nuggets,105,reg
2013-01-26,Houston Rockets,119,home,Brooklyn Nets,106,reg
2013-02-02,Houston Rockets,109,home,Charlotte Bobcats,95,reg
2013-02-05,Houston Rockets,140,home,Golden State Warriors,109,reg
2013-02-08,Houston Rockets,118,home,Portland Trail Blazers,103,reg
2013-02-20,Houston Rockets,122,home,Oklahoma City Thunder,119,reg
2013-02-27,Houston Rockets,107,home,Milwaukee Bucks,110,reg
2013-03-03,Houston Rockets,136,home,Dallas Mavericks,103,reg
2013-03-13,Houston Rockets,111,home,Phoenix Suns,81,reg
2013-03-15,Houston Rockets,108,home,Minnesota Timberwolves,100,reg
2013-03-17,Houston Rockets,78,home,Golden State Warriors,108,reg
2013-03-20,Houston Rockets,100,home,Utah Jazz,93,reg
2013-03-22,Houston Rockets,116,home,Cleveland Cavaliers,78,reg
2013-03-24,Houston Rockets,96,home,San Antonio Spurs,95,reg
2013-03-27,Houston Rockets,91,home,Indiana Pacers,100,reg
2013-03-30,Houston Rockets,98,home,Los Angeles Clippers,81,reg
2013-04-01,Houston Rockets,111,home,Orlando Magic,103,reg
2013-04-09,Houston Rockets,101,home,Phoenix Suns,98,reg
2013-04-12,Houston Rockets,78,home,Memphis Grizzlies,82,reg
2013-04-14,Houston Rockets,121,home,Sacramento Kings,100,reg
2013-10-30,Houston Rockets,96,home,Charlotte Bobcats,83,reg
2013-11-01,Houston Rockets,113,home,Dallas Mavericks,105,reg
2013-11-07,Houston Rockets,98,home,Los Angeles Lakers,99,reg
2013-11-09,Houston Rockets,94,home,Los Angeles Clippers,107,reg
2013-11-11,Houston Rockets,110,home,Toronto Raptors,104,reg
2013-11-16,Houston Rockets,122,home,Denver Nuggets,111,reg
2013-11-19,Houston Rockets,109,home,Boston Celtics,85,reg
2013-11-23,Houston Rockets,112,home,Minnesota Timberwolves,101,reg
2013-11-27,Houston Rockets,113,home,Atlanta Hawks,84,reg
2013-11-29,Houston Rockets,114,home,Brooklyn Nets,95,reg
2013-12-04,Houston Rockets,88,home,Phoenix Suns,97,reg
2013-12-06,Houston Rockets,105,home,Golden State Warriors,83,reg
2013-12-08,Houston Rockets,98,home,Orlando Magic,88,reg
2013-12-18,Houston Rockets,109,home,Chicago Bulls,94,reg
2013-12-23,Houston Rockets,104,home,Dallas Mavericks,111,reg
2013-12-26,Houston Rockets,100,home,Memphis Grizzlies,92,reg
2013-12-28,Houston Rockets,107,home,New Orleans Pelicans,98,reg
2013-12-31,Houston Rockets,106,home,Sacramento Kings,110,reg
2014-01-03,Houston Rockets,102,home,New York Knicks,100,reg
2014-01-08,Houston Rockets,113,home,Los Angeles Lakers,99,reg
2014-01-16,Houston Rockets,92,home,Oklahoma City Thunder,104,reg
2014-01-18,Houston Rockets,114,home,Milwaukee Bucks,104,reg
2014-01-20,Houston Rockets,126,home,Portland Trail Blazers,113,reg
2014-01-22,Houston Rockets,119,home,Sacramento Kings,98,reg
2014-01-24,Houston Rockets,87,home,Memphis Grizzlies,88,reg
2014-01-28,Houston Rockets,97,home,San Antonio Spurs,90,reg
2014-02-01,Houston Rockets,106,home,Cleveland Cavaliers,92,reg
2014-02-05,Houston Rockets,122,home,Phoenix Suns,108,reg
2014-02-12,Houston Rockets,113,home,Washington Wizards,112,reg
2014-03-01,Houston Rockets,118,home,Detroit Pistons,110,reg
2014-03-04,Houston Rockets,106,home,Miami Heat,103,reg
2014-03-07,Houston Rockets,112,home,Indiana Pacers,86,reg
2014-03-09,Houston Rockets,118,home,Portland Trail Blazers,113,reg
2014-03-17,Houston Rockets,124,home,Utah Jazz,86,reg
2014-03-20,Houston Rockets,129,home,Minnesota Timberwolves,106,reg
2014-03-27,Houston Rockets,120,home,Philadelphia 76ers,98,reg
2014-03-29,Houston Rockets,107,home,Los Angeles Clippers,118,reg
2014-04-04,Houston Rockets,111,home,Oklahoma City Thunder,107,reg
2014-04-06,Houston Rockets,130,home,Denver Nuggets,125,reg
2014-04-12,Houston Rockets,111,home,New Orleans Pelicans,104,reg
2014-04-14,Houston Rockets,104,home,San Antonio Spurs,98,reg
2014-11-01,Houston Rockets,104,home,Boston Celtics,90,reg
2014-11-06,Houston Rockets,98,home,San Antonio Spurs,81,reg
2014-11-08,Houston Rockets,87,home,Golden State Warriors,98,reg
2014-11-14,Houston Rockets,88,home,Philadelphia 76ers,87,reg
2014-11-19,Houston Rockets,92,home,Los Angeles Lakers,98,reg
2014-11-22,Houston Rockets,95,home,Dallas Mavericks,92,reg
2014-11-24,Houston Rockets,91,home,New York Knicks,86,reg
2014-11-26,Houston Rockets,102,home,Sacramento Kings,89,reg
2014-11-28,Houston Rockets,85,home,Los Angeles Clippers,102,reg
2014-12-03,Houston Rockets,105,home,Memphis Grizzlies,96,reg
2014-12-06,Houston Rockets,100,home,Phoenix Suns,95,reg
2014-12-13,Houston Rockets,108,home,Denver Nuggets,96,reg
2014-12-18,Houston Rockets,90,home,New Orleans Pelicans,99,reg
2014-12-20,Houston Rockets,97,home,Atlanta Hawks,104,reg
2014-12-22,Houston Rockets,110,home,Portland Trail Blazers,95,reg
2014-12-29,Houston Rockets,103,home,Washington Wizards,104,reg
2014-12-31,Houston Rockets,102,home,Charlotte Hornets,83,reg
2015-01-03,Houston Rockets,115,home,Miami Heat,79,reg
2015-01-10,Houston Rockets,97,home,Utah Jazz,82,reg
2015-01-15,Houston Rockets,112,home,Oklahoma City Thunder,101,reg
2015-01-17,Houston Rockets,106,home,Golden State Warriors,131,reg
2015-01-19,Houston Rockets,110,home,Indiana Pacers,98,reg
2015-01-28,Houston Rockets,99,home,Dallas Mavericks,94,reg
2015-02-04,Houston Rockets,101,home,Chicago Bulls,90,reg
2015-02-06,Houston Rockets,117,home,Milwaukee Bucks,111,reg
2015-02-08,Houston Rockets,98,home,Portland Trail Blazers,109,reg
2015-02-21,Houston Rockets,98,home,Toronto Raptors,76,reg
2015-02-23,Houston Rockets,113,home,Minnesota Timberwolves,102,reg
2015-02-25,Houston Rockets,110,home,Los Angeles Clippers,105,reg
2015-02-27,Houston Rockets,102,home,Brooklyn Nets,98,reg
2015-03-01,Houston Rockets,105,home,Cleveland Cavaliers,103,reg
2015-03-04,Houston Rockets,100,home,Memphis Grizzlies,102,reg
2015-03-06,Houston Rockets,103,home,Detroit Pistons,93,reg
2015-03-17,Houston Rockets,107,home,Orlando Magic,94,reg
2015-03-19,Houston Rockets,118,home,Denver Nuggets,108,reg
2015-03-21,Houston Rockets,102,home,Phoenix Suns,117,reg
2015-03-27,Houston Rockets,120,home,Minnesota Timberwolves,110,reg
2015-04-01,Houston Rockets,115,home,Sacramento Kings,111,reg
2015-04-10,Houston Rockets,103,home,San Antonio Spurs,104,reg
2015-04-12,Houston Rockets,121,home,New Orleans Pelicans,114,reg
2015-04-15,Houston Rockets,117,home,Utah Jazz,91,reg
2015-10-28,Houston Rockets,85,home,Denver Nuggets,105,reg
2015-10-30,Houston Rockets,92,home,Golden State Warriors,112,reg
2015-11-02,Houston Rockets,110,home,Oklahoma City Thunder,105,reg
2015-11-04,Houston Rockets,119,home,Orlando Magic,114,reg
2015-11-11,Houston Rockets,98,home,Brooklyn Nets,106,reg
2015-11-14,Houston Rockets,98,home,Dallas Mavericks,110,reg
2015-11-16,Houston Rockets,95,home,Boston Celtics,111,reg
2015-11-18,Houston Rockets,108,home,Portland Trail Blazers,103,reg
2015-11-21,Houston Rockets,102,home,New York Knicks,107,reg
2015-11-25,Houston Rockets,93,home,Memphis Grizzlies,102,reg
2015-11-27,Houston Rockets,116,home,Philadelphia 76ers,114,reg
2015-12-02,Houston Rockets,108,home,New Orleans Pelicans,101,reg
2015-12-05,Houston Rockets,120,home,Sacramento Kings,113,reg
2015-12-12,Houston Rockets,126,home,Los Angeles Lakers,97,reg
2015-12-19,Houston Rockets,107,home,Los Angeles Clippers,97,reg
2015-12-21,Houston Rockets,102,home,Charlotte Hornets,95,reg
2015-12-25,Houston Rockets,88,home,San Antonio Spurs,84,reg
2015-12-29,Houston Rockets,115,home,Atlanta Hawks,121,reg
2015-12-31,Houston Rockets,110,home,Golden State Warriors,114,reg
2016-01-07,Houston Rockets,103,home,Utah Jazz,94,reg
2016-01-10,Houston Rockets,107,home,Indiana Pacers,103,reg
2016-01-13,Houston Rockets,107,home,Minnesota Timberwolves,104,reg
2016-01-15,Houston Rockets,77,home,Cleveland Cavaliers,91,reg
2016-01-20,Houston Rockets,114,home,Detroit Pistons,123,reg
2016-01-22,Houston Rockets,102,home,Milwaukee Bucks,98,reg
2016-01-24,Houston Rockets,115,home,Dallas Mavericks,104,reg
2016-01-30,Houston Rockets,122,home,Washington Wizards,123,reg
2016-02-02,Houston Rockets,115,home,Miami Heat,102,reg
2016-02-06,Houston Rockets,79,home,Portland Trail Blazers,96,reg
2016-02-27,Houston Rockets,94,home,San Antonio Spurs,104,reg
2016-03-02,Houston Rockets,100,home,New Orleans Pelicans,95,reg
2016-03-14,Houston Rockets,130,home,Memphis Grizzlies,81,reg
2016-03-16,Houston Rockets,106,home,Los Angeles Clippers,122,reg
2016-03-18,Houston Rockets,116,home,Minnesota Timberwolves,111,reg
2016-03-23,Houston Rockets,87,home,Utah Jazz,89,reg
2016-03-25,Houston Rockets,112,home,Toronto Raptors,109,reg
2016-03-31,Houston Rockets,100,home,Chicago Bulls,103,reg
2016-04-03,Houston Rockets,118,home,Oklahoma City Thunder,110,reg
2016-04-07,Houston Rockets,115,home,Phoenix Suns,124,reg
2016-04-10,Houston Rockets,130,home,Los Angeles Lakers,110,reg
2016-04-13,Houston Rockets,116,home,Sacramento Kings,81,reg
2016-10-30,Houston Rockets,93,home,Dallas Mavericks,92,reg
2016-11-12,Houston Rockets,100,home,San Antonio Spurs,106,reg
2016-11-14,Houston Rockets,115,home,Philadelphia 76ers,88,reg
2016-11-17,Houston Rockets,126,home,Portland Trail Blazers,109,reg
2016-11-19,Houston Rockets,111,home,Utah Jazz,102,reg
2016-11-23,Houston Rockets,102,home,Toronto Raptors,115,reg
2016-12-05,Houston Rockets,107,home,Boston Celtics,106,reg
2016-12-07,Houston Rockets,134,home,Los Angeles Lakers,95,reg
2016-12-10,Houston Rockets,109,home,Dallas Mavericks,87,reg
2016-12-12,Houston Rockets,122,home,Brooklyn Nets,118,reg
2016-12-14,Houston Rockets,132,home,Sacramento Kings,98,reg
2016-12-16,Houston Rockets,122,home,New Orleans Pelicans,100,reg
2016-12-20,Houston Rockets,100,home,San Antonio Spurs,102,reg
2016-12-26,Houston Rockets,131,home,Phoenix Suns,115,reg
2016-12-30,Houston Rockets,140,home,Los Angeles Clippers,116,reg
2016-12-31,Houston Rockets,129,home,New York Knicks,122,reg
2017-01-02,Houston Rockets,101,home,Washington Wizards,91,reg
2017-01-05,Houston Rockets,118,home,Oklahoma City Thunder,116,reg
2017-01-10,Houston Rockets,121,home,Charlotte Hornets,114,reg
2017-01-13,Houston Rockets,105,home,Memphis Grizzlies,110,reg
2017-01-18,Houston Rockets,111,home,Milwaukee Bucks,92,reg
2017-01-20,Houston Rockets,108,home,Golden State Warriors,125,reg
2017-01-31,Houston Rockets,105,home,Sacramento Kings,83,reg
2017-02-02,Houston Rockets,108,home,Atlanta Hawks,113,reg
2017-02-03,Houston Rockets,121,home,Chicago Bulls,117,reg
2017-02-07,Houston Rockets,128,home,Orlando Magic,104,reg
2017-02-11,Houston Rockets,133,home,Phoenix Suns,102,reg
2017-02-15,Houston Rockets,109,home,Miami Heat,117,reg
2017-02-25,Houston Rockets,142,home,Minnesota Timberwolves,130,reg
2017-02-27,Houston Rockets,108,home,Indiana Pacers,117,reg
2017-03-04,Houston Rockets,123,home,Memphis Grizzlies,108,reg
2017-03-08,Houston Rockets,108,home,Utah Jazz,115,reg
2017-03-12,Houston Rockets,117,home,Cleveland Cavaliers,112,reg
2017-03-15,Houston Rockets,139,home,Los Angeles Lakers,100,reg
2017-03-20,Houston Rockets,125,home,Denver Nuggets,124,reg
2017-03-24,Houston Rockets,117,home,New Orleans Pelicans,107,reg
2017-03-26,Houston Rockets,137,home,Oklahoma City Thunder,125,reg
2017-03-28,Houston Rockets,106,home,Golden State Warriors,113,reg
2017-04-05,Houston Rockets,110,home,Denver Nuggets,104,reg
2017-04-07,Houston Rockets,109,home,Detroit Pistons,114,reg
2017-04-12,Houston Rockets,123,home,Minnesota Timberwolves,118,reg
2013-04-27,Houston Rockets,101,home,Oklahoma City Thunder,104,plo
2013-04-29,Houston Rockets,105,home,Oklahoma City Thunder,103,plo
2013-05-03,Houston Rockets,94,home,Oklahoma City Thunder,103,plo
2014-04-20,Houston Rockets,120,home,Portland Trail Blazers,122,plo
2014-04-23,Houston Rockets,105,home,Portland Trail Blazers,112,plo
2014-04-30,Houston Rockets,108,home,Portland Trail Blazers,98,plo
2015-04-18,Houston Rockets,118,home,Dallas Mavericks,108,plo
2015-04-21,Houston Rockets,111,home,Dallas Mavericks,99,plo
2015-04-28,Houston Rockets,103,home,Dallas Mavericks,94,plo
2015-05-04,Houston Rockets,101,home,Los Angeles Clippers,117,plo
2015-05-06,Houston Rockets,115,home,Los Angeles Clippers,109,plo
2015-05-12,Houston Rockets,124,home,Los Angeles Clippers,103,plo
2015-05-17,Houston Rockets,113,home,Los Angeles Clippers,100,plo
2015-05-23,Houston Rockets,80,home,Golden State Warriors,115,plo
2015-05-25,Houston Rockets,128,home,Golden State Warriors,115,plo
2016-04-21,Houston Rockets,97,home,Golden State Warriors,96,plo
2016-04-24,Houston Rockets,94,home,Golden State Warriors,121,plo
2017-04-16,Houston Rockets,118,home,Oklahoma City Thunder,87,plo
2017-04-19,Houston Rockets,115,home,Oklahoma City Thunder,111,plo
2017-04-25,Houston Rockets,105,home,Oklahoma City Thunder,99,plo
2017-05-05,Houston Rockets,92,home,San Antonio Spurs,103,plo
2017-05-07,Houston Rockets,125,home,San Antonio Spurs,104,plo
2017-05-11,Houston Rockets,75,home,San Antonio Spurs,114,plo
